Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,702.3177083,-2.79
0.101,0,1,1,702.3177083,
0.2,0,2,2,702.3177083,
0.3,0,3,3,702.3177083,
0.4,0,4,4,702.3177083,
0.5,0,5,5,702.3177083,
0.6,0,6,6,701.9296875,
0.701,0,7,7,701.9296875,
0.799,0,8,8,701.9296875,
0.901,0,9,9,701.9296875,
1.001,0,10,10,701.9296875,
1.1,0,11,11,701.9296875,
1.2,0,12,12,701.9296875,
1.3,0,13,13,702.7057292,
1.401,0,14,14,702.7057292,
1.5,0,15,15,703.09375,
1.601,0,16,16,703.09375,
1.7,5,17,17,703.09375,
1.801,10,18,18,703.09375,
1.9,3,19,19,703.09375,
2,6,20,20,703.09375,
2.1,8,21,21,703.09375,
2.2,10,22,22,702.3177083,
2.301,9,23,23,701.9296875,
2.4,9,24,24,702.3177083,
2.5,8,25,25,702.3177083,
2.6,5,26,26,702.3177083,
2.701,13,27,27,702.3177083,
2.801,12,28,28,703.09375,
2.9,14,29,29,703.09375,
3.001,11,30,30,703.09375,
3.101,17,31,31,703.09375,
3.201,10,32,32,706.9739583,
3.3,14,33,33,706.9739583,
3.401,8,34,34,706.1979167,
3.501,15,35,35,705.8098958,
3.6,22,36,36,706.5859375,
3.701,5,37,37,706.5859375,
3.8,10,38,38,703.09375,
3.9,13,39,39,703.09375,
4,9,40,40,703.4817708,
4.1,10,41,41,703.4817708,
4.2,14,42,42,703.09375,
4.301,14,43,43,703.09375,
4.401,7,44,44,703.4817708,
4.5,13,45,45,703.4817708,
4.601,15,46,46,703.09375,
4.7,23,47,47,703.09375,
4.8,14,48,48,703.09375,
4.9,10,49,49,703.09375,
5.001,14,50,50,703.09375,
5.099,15,51,51,703.09375,
5.2,19,52,52,703.4817708,
5.301,27,53,53,703.4817708,
5.401,19,54,54,703.09375,
5.5,20,55,55,702.7057292,
5.601,14,56,56,702.3177083,
5.701,19,57,57,702.3177083,
5.8,16,58,58,702.7057292,
5.901,17,59,59,702.3177083,
6.001,17,60,60,702.3177083,
6.1,19,61,61,702.3177083,
6.2,10,62,62,701.9296875,
6.3,28,63,63,701.9296875,
6.4,22,64,64,701.9296875,
6.501,18,65,65,701.9296875,
6.601,25,66,66,701.9296875,
6.7,27,67,67,701.9296875,
6.8,12,68,68,701.9296875,
6.901,22,69,69,701.9296875,
7.001,20,70,70,701.9296875,
7.101,22,71,71,701.9296875,
7.201,27,72,72,701.9296875,
7.3,29,73,73,701.9296875,
7.401,27,74,74,701.9296875,
7.501,22,75,75,701.9296875,
7.601,18,76,76,701.9296875,
7.7,29,77,77,701.9296875,
7.801,24,78,78,701.9296875,
7.901,31,79,79,702.3177083,
8.001,31,80,80,702.3177083,
8.1,37,81,81,701.9296875,
8.201,32,82,82,701.9296875,
8.301,36,83,83,701.9296875,
8.4,42,84,84,701.9296875,
8.501,33,85,85,701.9296875,
8.601,27,86,86,702.3177083,
8.701,39,87,87,702.7057292,
8.8,54,88,88,702.7057292,
8.9,42,89,89,704.2578125,
9,49,90,90,704.2578125,
9.1,38,91,91,704.6458333,
9.2,39,92,92,705.421875,
9.301,40,93,93,705.421875,
9.4,51,94,94,705.421875,
9.5,47,95,95,705.421875,
9.6,37,96,96,704.6458333,
9.701,68,97,97,704.6458333,
9.8,40,98,98,704.6458333,
9.901,53,99,99,703.4817708,
10.001,44,100,100,703.4817708,
10.101,64,101,101,703.09375,
10.201,59,102,102,701.9296875,
10.3,43,103,103,701.9296875,
10.401,57,104,104,701.9296875,
10.501,79,105,105,701.9296875,
10.6,62,106,106,701.9296875,
10.7,64,107,107,701.9296875,
10.801,70,108,108,701.9296875,
10.901,56,109,109,701.9296875,
11,55,110,110,701.9296875,
11.1,67,111,111,701.9296875,
11.2,84,112,112,701.9296875,
11.301,59,113,113,701.9296875,
11.4,70,114,114,701.9296875,
11.5,68,115,115,701.9296875,
11.601,70,116,116,701.9296875,
11.701,77,117,117,701.9296875,
11.8,84,118,118,701.9296875,
11.901,69,119,119,701.9296875,
12,94,120,120,701.9296875,
12.1,70,121,121,701.9296875,
12.2,97,122,122,701.9296875,
12.3,84,123,123,701.9296875,
12.399,82,124,124,701.9296875,
12.501,97,125,125,701.9296875,
12.601,92,126,126,701.9296875,
12.7,119,127,127,701.9296875,
12.8,103,128,128,702.3177083,
12.901,102,129,129,702.3177083,
13.001,99,130,130,702.3177083,
13.1,100,131,131,702.3177083,
13.2,96,132,132,702.7057292,
13.301,104,133,133,703.8697917,
13.401,96,134,134,703.4817708,
13.5,105,135,135,703.4817708,
13.6,121,136,136,703.8697917,
13.7,100,137,137,703.8697917,
13.8,113,138,138,703.8697917,
13.9,110,139,139,703.8697917,
14,95,140,140,703.8697917,
14.101,99,141,141,703.8697917,
14.2,100,142,142,703.09375,
14.301,105,143,143,703.09375,
14.401,95,144,144,703.09375,
14.5,90,145,145,703.09375,
14.6,103,146,146,703.09375,
14.701,85,147,147,703.09375,
14.801,103,148,148,702.7057292,
14.9,92,149,149,703.09375,
15,85,150,150,703.09375,
15.101,100,151,151,702.7057292,
15.201,112,152,152,702.7057292,
15.3,83,153,153,702.7057292,
15.4,73,154,154,702.7057292,
15.501,89,155,155,702.3177083,
15.601,83,156,156,702.3177083,
15.7,97,157,157,702.3177083,
15.8,79,158,158,702.3177083,
15.901,75,159,159,701.9296875,
16.001,96,160,160,701.9296875,
16.1,90,161,161,701.9296875,
16.2,104,162,162,701.9296875,
16.301,83,163,163,701.9296875,
16.4,97,164,164,701.9296875,
16.5,81,165,165,701.9296875,
16.6,72,166,166,701.9296875,
16.701,101,167,167,702.3177083,
16.8,74,168,168,702.3177083,
