Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,700.765625,-19.93
0.1,0,1,1,700.765625,
0.201,0,2,2,700.765625,
0.3,0,3,3,700.765625,
0.4,0,4,4,701.5416667,
0.5,0,5,5,701.5416667,
0.6,0,6,6,711.6302083,
0.699,0,7,7,711.6302083,
0.8,0,8,8,711.6302083,
0.9,0,9,9,711.6302083,
1.001,0,10,10,722.8828125,
1.1,1,11,11,726.7630208,
1.2,0,12,12,726.7630208,
1.3,0,13,13,726.7630208,
1.4,0,14,14,719.0026042,
1.5,0,15,15,719.0026042,
1.6,0,16,16,710.4661458,
1.7,0,17,17,720.1666667,
1.8,0,18,18,738.015625,
1.9,0,19,19,743.0598958,
2,0,20,20,736.4635417,
2.101,0,21,21,735.2994792,
2.2,2,22,22,750.8203125,
2.3,0,23,23,750.8203125,
2.4,1,24,24,750.8203125,
2.5,1,25,25,750.8203125,
2.6,0,26,26,757.0286458,
2.7,2,27,27,755.8645833,
2.801,0,28,28,745.3880208,
2.9,3,29,29,737.6276042,
3,1,30,30,737.6276042,
3.1,1,31,31,755.8645833,
3.201,5,32,32,745.7760417,
3.3,1,33,33,745.7760417,
3.4,6,34,34,746.1640625,
3.501,3,35,35,757.4166667,
3.6,5,36,36,762.4609375,
3.701,4,37,37,751.5963542,
3.8,5,38,38,751.5963542,
3.9,6,39,39,766.3411458,
4,3,40,40,772.5494792,
4.1,6,41,41,766.3411458,
4.2,3,42,42,767.5052083,
4.3,3,43,43,767.5052083,
4.4,4,44,44,767.5052083,
4.5,5,45,45,767.5052083,
4.6,6,46,46,752.7604167,
4.7,11,47,47,755.0885417,
4.8,8,48,48,763.2369792,
4.9,7,49,49,747.7161458,
5.001,4,50,50,747.7161458,
5.101,5,51,51,747.7161458,
5.2,2,52,52,738.7916667,
5.301,7,53,53,752.7604167,
5.4,6,54,54,752.7604167,
5.501,6,55,55,752.7604167,
5.6,5,56,56,752.7604167,
5.7,6,57,57,760.1328125,
5.8,6,58,58,756.2526042,
5.901,5,59,59,756.2526042,
6,5,60,60,738.7916667,
6.101,9,61,61,753.9244792,
6.2,10,62,62,746.1640625,
6.3,5,63,63,732.9713542,
6.4,11,64,64,732.9713542,
6.501,13,65,65,732.9713542,
6.6,5,66,66,729.8671875,
6.7,5,67,67,711.2421875,
6.8,8,68,68,709.3020833,
6.901,9,69,69,712.40625,
7.001,8,70,70,719.7786458,
7.1,3,71,71,716.6744792,
7.2,12,72,72,716.6744792,
7.3,9,73,73,711.2421875,
7.399,17,74,74,711.2421875,
7.5,5,75,75,710.8541667,
7.6,10,76,76,710.8541667,
7.7,12,77,77,710.8541667,
7.799,6,78,78,710.8541667,
7.9,8,79,79,716.6744792,
8,10,80,80,726.7630208,
8.1,11,81,81,722.1067708,
8.2,14,82,82,737.6276042,
8.3,5,83,83,737.6276042,
8.4,10,84,84,755.4765625,
8.5,10,85,85,755.4765625,
8.6,8,86,86,755.4765625,
8.7,15,87,87,755.4765625,
8.8,6,88,88,758.1927083,
8.899,11,89,89,758.1927083,
9,14,90,90,755.8645833,
9.1,7,91,91,743.4479167,
9.201,7,92,92,743.4479167,
9.301,10,93,93,733.359375,
9.4,10,94,94,720.1666667,
9.501,9,95,95,717.8385417,
9.601,11,96,96,717.0625,
9.701,9,97,97,714.734375,
9.801,8,98,98,708.9140625,
9.9,9,99,99,714.734375,
10,16,100,100,714.734375,
10.101,13,101,101,714.734375,
10.2,10,102,102,717.4505208,
10.3,14,103,103,717.0625,
10.4,9,104,104,714.734375,
10.5,13,105,105,714.734375,
10.6,19,106,106,714.734375,
10.701,23,107,107,727.1510417,
10.8,14,108,108,730.6432292,
10.901,11,109,109,746.1640625,
11.001,14,110,110,756.640625,
11.099,12,111,111,762.8489583,
11.2,15,112,112,762.8489583,
11.301,11,113,113,759.3567708,
11.401,10,114,114,759.3567708,
11.5,18,115,115,759.3567708,
11.601,18,116,116,766.3411458,
11.7,19,117,117,765.1770833,
11.8,20,118,118,765.1770833,
11.901,14,119,119,742.671875,
12,10,120,120,740.34375,
12.1,13,121,121,719.7786458,
12.2,16,122,122,724.046875,
12.3,25,123,123,729.8671875,
12.4,15,124,124,739.9557292,
12.5,14,125,125,739.9557292,
