Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,703.09375,-9.14
0.1,0,1,1,703.09375,
0.201,0,2,2,705.0338542,
0.3,0,3,3,709.3020833,
0.4,1,4,4,717.8385417,
0.5,0,5,5,718.6145833,
0.601,1,6,6,718.6145833,
0.7,0,7,7,718.6145833,
0.8,2,8,8,724.046875,
0.9,9,9,9,724.046875,
1.001,9,10,10,727.9270833,
1.1,25,11,11,727.9270833,
1.2,15,12,12,727.5390625,
1.301,61,13,13,729.4791667,
1.401,67,14,14,727.5390625,
1.5,66,15,15,727.5390625,
1.6,86,16,16,727.5390625,
1.701,83,17,17,727.5390625,
1.801,74,18,18,727.1510417,
1.9,93,19,19,727.1510417,
2,94,20,20,723.6588542,
2.101,106,21,21,722.8828125,
2.2,112,22,22,722.8828125,
2.3,116,23,23,722.1067708,
2.4,131,24,24,722.1067708,
2.501,128,25,25,723.2708333,
2.6,126,26,26,720.5546875,
2.7,160,27,27,719.7786458,
2.8,179,28,28,719.7786458,
2.901,166,29,29,723.2708333,
3.001,210,30,30,724.046875,
3.1,251,31,31,724.046875,
3.2,250,32,32,726.7630208,
3.301,302,33,33,726.375,
3.4,296,34,34,726.375,
3.501,334,35,35,726.375,
3.601,364,36,36,727.9270833,
3.7,343,37,37,727.9270833,
3.8,384,38,38,729.0911458,
3.901,342,39,39,729.0911458,
4,359,40,40,729.0911458,
4.1,383,41,41,725.2109375,
4.2,366,42,42,721.3307292,
4.301,335,43,43,725.2109375,
4.4,339,44,44,725.2109375,
4.5,307,45,45,724.4348958,
4.601,314,46,46,721.3307292,
4.701,250,47,47,727.1510417,
4.8,248,48,48,726.375,
4.901,227,49,49,726.375,
5.001,216,50,50,726.375,
5.101,172,51,51,727.9270833,
5.2,144,52,52,727.9270833,
5.301,146,53,53,722.4947917,
5.401,122,54,54,722.4947917,
5.501,107,55,55,722.4947917,
5.6,101,56,56,723.6588542,
5.7,105,57,57,722.4947917,
5.801,97,58,58,722.4947917,
5.9,76,59,59,722.4947917,
6,76,60,60,722.4947917,
6.1,87,61,61,725.2109375,
6.201,72,62,62,725.2109375,
6.3,65,63,63,725.2109375,
6.399,66,64,64,729.8671875,
6.5,66,65,65,729.8671875,
6.601,53,66,66,735.2994792,
6.701,66,67,67,735.6875,
6.8,59,68,68,735.6875,
6.9,71,69,69,735.6875,
7,66,70,70,735.6875,
7.101,64,71,71,732.1953125,
7.201,83,72,72,732.1953125,
7.3,63,73,73,732.1953125,
7.4,67,74,74,729.4791667,
7.501,71,75,75,729.4791667,
7.601,56,76,76,729.4791667,
7.7,59,77,77,726.375,
7.8,64,78,78,726.375,
7.901,60,79,79,724.8229167,
8.001,76,80,80,724.8229167,
8.1,65,81,81,724.8229167,
8.2,60,82,82,722.4947917,
8.3,59,83,83,722.4947917,
8.4,63,84,84,717.4505208,
8.501,71,85,85,717.4505208,
8.601,70,86,86,717.4505208,
8.7,66,87,87,720.1666667,
8.8,61,88,88,720.1666667,
8.901,72,89,89,721.71875,
9,74,90,90,724.046875,
9.1,60,91,91,724.046875,
9.201,58,92,92,724.046875,
9.301,62,93,93,724.046875,
9.4,66,94,94,724.046875,
9.5,86,95,95,724.046875,
9.6,84,96,96,721.71875,
9.701,81,97,97,720.9427083,
9.8,66,98,98,720.9427083,
9.901,87,99,99,721.71875,
10.001,85,100,100,722.4947917,
10.1,79,101,101,722.4947917,
10.2,101,102,102,722.4947917,
10.301,77,103,103,722.4947917,
10.401,87,104,104,722.4947917,
10.5,73,105,105,722.8828125,
10.6,88,106,106,722.4947917,
10.701,94,107,107,722.8828125,
10.8,85,108,108,722.8828125,
10.901,98,109,109,721.3307292,
11,101,110,110,720.9427083,
11.101,103,111,111,720.5546875,
11.2,108,112,112,721.3307292,
11.3,101,113,113,721.3307292,
11.4,113,114,114,720.9427083,
11.501,109,115,115,724.046875,
11.6,110,116,116,727.5390625,
11.7,110,117,117,726.7630208,
11.801,116,118,118,726.7630208,
11.901,119,119,119,726.7630208,
12,133,120,120,732.1953125,
12.1,117,121,121,732.1953125,
12.201,124,122,122,727.9270833,
12.3,132,123,123,727.9270833,
