Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,699.6015625,-19.93
0.101,0,1,1,699.6015625,
0.201,0,2,2,699.6015625,
0.3,0,3,3,699.6015625,
0.4,0,4,4,699.6015625,
0.501,0,5,5,699.9895833,
0.601,0,6,6,699.9895833,
0.7,0,7,7,699.9895833,
0.801,0,8,8,699.9895833,
0.901,0,9,9,699.9895833,
1.001,0,10,10,699.9895833,
1.1,0,11,11,699.9895833,
1.201,0,12,12,699.9895833,
1.301,0,13,13,699.6015625,
1.4,0,14,14,699.6015625,
1.5,0,15,15,699.6015625,
1.601,0,16,16,699.6015625,
1.701,0,17,17,699.6015625,
1.8,0,18,18,699.6015625,
1.9,0,19,19,699.6015625,
2.001,0,20,20,699.6015625,
2.1,0,21,21,699.6015625,
2.2,0,22,22,699.6015625,
2.301,0,23,23,699.6015625,
2.401,0,24,24,699.6015625,
2.501,0,25,25,699.6015625,
2.6,0,26,26,699.6015625,
2.701,0,27,27,699.6015625,
2.801,0,28,28,699.9895833,
2.901,2,29,29,699.9895833,
3,1,30,30,699.6015625,
3.101,1,31,31,699.6015625,
3.201,3,32,32,699.6015625,
3.3,3,33,33,699.6015625,
3.401,2,34,34,699.6015625,
3.501,2,35,35,699.6015625,
3.601,0,36,36,699.9895833,
3.7,1,37,37,699.9895833,
3.801,1,38,38,699.6015625,
3.901,0,39,39,699.6015625,
4.001,1,40,40,699.6015625,
4.1,1,41,41,699.6015625,
4.201,2,42,42,699.6015625,
4.301,1,43,43,699.6015625,
4.401,0,44,44,699.6015625,
4.501,2,45,45,699.6015625,
4.601,1,46,46,699.6015625,
4.701,1,47,47,699.6015625,
4.8,3,48,48,699.6015625,
4.901,1,49,49,699.6015625,
5.001,0,50,50,699.6015625,
5.101,2,51,51,699.6015625,
5.2,0,52,52,699.6015625,
5.301,2,53,53,699.6015625,
5.401,3,54,54,699.6015625,
5.501,0,55,55,699.6015625,
5.6,4,56,56,699.6015625,
5.701,2,57,57,699.6015625,
5.801,1,58,58,699.6015625,
5.901,1,59,59,699.6015625,
6.001,1,60,60,699.6015625,
6.101,2,61,61,699.6015625,
6.201,2,62,62,699.6015625,
6.3,2,63,63,699.6015625,
6.401,1,64,64,699.6015625,
6.501,1,65,65,699.6015625,
6.601,2,66,66,699.6015625,
6.7,2,67,67,699.6015625,
6.801,4,68,68,699.6015625,
6.901,1,69,69,699.6015625,
