Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,721.71875,-5.42
0.1,0,1,1,721.71875,
0.2,0,2,2,721.71875,
0.301,0,3,3,721.71875,
0.401,0,4,4,721.71875,
0.5,0,5,5,721.71875,
0.6,0,6,6,721.71875,
0.701,0,7,7,721.71875,
0.801,0,8,8,721.3307292,
0.9,1,9,9,720.1666667,
1.001,0,10,10,720.1666667,
1.101,0,11,11,721.3307292,
1.2,0,12,12,721.3307292,
1.3,2,13,13,721.3307292,
1.401,16,14,14,721.3307292,
1.501,58,15,15,719.390625,
1.6,111,16,16,719.390625,
1.7,130,17,17,719.390625,
1.801,131,18,18,719.390625,
1.901,118,19,19,720.5546875,
2,157,20,20,717.8385417,
2.101,135,21,21,717.4505208,
2.201,154,22,22,717.4505208,
2.301,157,23,23,717.4505208,
2.4,165,24,24,716.2864583,
2.501,169,25,25,718.6145833,
2.601,154,26,26,716.6744792,
2.7,162,27,27,716.6744792,
2.8,146,28,28,716.6744792,
2.901,151,29,29,713.9583333,
3.001,141,30,30,715.8984375,
3.1,144,31,31,713.5703125,
3.2,149,32,32,713.5703125,
3.301,137,33,33,713.1822917,
3.401,140,34,34,713.1822917,
3.5,124,35,35,711.2421875,
3.6,140,36,36,711.2421875,
3.701,152,37,37,710.4661458,
3.801,135,38,38,713.1822917,
3.9,120,39,39,717.4505208,
4.001,111,40,40,715.5104167,
4.101,130,41,41,714.734375,
4.2,146,42,42,714.734375,
4.3,133,43,43,716.2864583,
4.401,133,44,44,716.2864583,
4.501,153,45,45,720.5546875,
4.6,145,46,46,720.5546875,
4.7,149,47,47,720.5546875,
4.801,150,48,48,716.2864583,
4.901,169,49,49,712.7942708,
5,138,50,50,712.7942708,
5.101,144,51,51,716.2864583,
5.201,117,52,52,719.7786458,
5.3,168,53,53,718.6145833,
5.4,128,54,54,718.6145833,
5.501,146,55,55,715.1223958,
5.601,143,56,56,715.8984375,
5.7,150,57,57,716.2864583,
5.8,153,58,58,717.8385417,
5.901,133,59,59,717.8385417,
6.001,151,60,60,719.390625,
6.1,180,61,61,716.6744792,
6.2,171,62,62,715.8984375,
6.301,159,63,63,717.4505208,
6.401,176,64,64,717.4505208,
6.5,187,65,65,717.4505208,
6.601,160,66,66,717.4505208,
6.701,141,67,67,717.4505208,
6.8,181,68,68,719.7786458,
6.9,182,69,69,719.7786458,
7.001,175,70,70,718.2265625,
7.101,181,71,71,718.2265625,
7.2,164,72,72,722.4947917,
7.3,172,73,73,719.390625,
7.401,185,74,74,719.390625,
7.501,183,75,75,721.71875,
7.6,174,76,76,721.71875,
7.7,164,77,77,721.71875,
7.801,184,78,78,715.8984375,
7.901,185,79,79,715.8984375,
8.001,185,80,80,715.8984375,
8.1,202,81,81,715.8984375,
8.2,182,82,82,712.7942708,
8.301,192,83,83,710.8541667,
8.401,222,84,84,711.6302083,
8.5,198,85,85,711.6302083,
8.6,209,86,86,711.2421875,
8.701,207,87,87,711.2421875,
8.801,235,88,88,710.078125,
8.9,221,89,89,710.078125,
9.001,217,90,90,714.734375,
9.101,235,91,91,714.734375,
9.2,290,92,92,714.734375,
9.3,252,93,93,714.734375,
9.401,290,94,94,717.4505208,
9.501,301,95,95,714.3463542,
9.6,337,96,96,717.0625,
9.7,368,97,97,717.4505208,
9.801,410,98,98,717.4505208,
9.901,468,99,99,717.4505208,
10,569,100,100,714.3463542,
10.101,615,101,101,717.4505208,
10.2,633,102,102,723.2708333,
10.299,785,103,103,723.2708333,
10.401,825,104,104,720.5546875,
10.501,883,105,105,720.5546875,
10.601,966,106,106,717.8385417,
10.7,1024,107,107,716.6744792,
10.8,1106,108,108,717.4505208,
10.901,1092,109,109,716.6744792,
11.001,1139,110,110,716.6744792,
11.1,1262,111,111,711.2421875,
11.201,1191,112,112,710.8541667,
11.301,1220,113,113,712.40625,
11.401,1191,114,114,712.40625,
11.5,1063,115,115,712.40625,
11.601,991,116,116,712.40625,
11.701,981,117,117,712.40625,
11.8,958,118,118,713.9583333,
11.9,864,119,119,713.9583333,
