Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,699.6015625, -4.29
0.101,0,1,1,699.6015625,
0.201,0,2,2,699.6015625,
0.301,0,3,3,699.6015625,
0.4,0,4,4,699.6015625,
0.501,0,5,5,699.6015625,
0.601,0,6,6,699.6015625,
0.701,0,7,7,699.6015625,
0.8,0,8,8,699.6015625,
0.9,0,9,9,699.6015625,
1.001,0,10,10,699.6015625,
1.101,0,11,11,699.2135417,
1.201,0,12,12,699.6015625,
1.3,0,13,13,699.6015625,
1.4,0,14,14,699.6015625,
1.501,0,15,15,699.6015625,
1.601,0,16,16,699.6015625,
1.7,0,17,17,699.6015625,
1.801,0,18,18,699.6015625,
1.901,0,19,19,699.6015625,
2,0,20,20,699.6015625,
2.101,0,21,21,699.6015625,
2.201,0,22,22,699.6015625,
2.301,0,23,23,699.6015625,
2.4,0,24,24,699.6015625,
2.501,0,25,25,699.6015625,
2.601,2,26,26,699.6015625,
2.701,2,27,27,699.6015625,
2.801,5,28,28,699.6015625,
2.9,9,29,29,699.6015625,
3.001,3,30,30,699.6015625,
3.101,8,31,31,699.6015625,
3.201,10,32,32,699.6015625,
3.3,8,33,33,699.6015625,
3.4,6,34,34,699.6015625,
3.501,10,35,35,699.6015625,
3.601,13,36,36,699.6015625,
3.701,11,37,37,699.6015625,
3.8,8,38,38,699.6015625,
3.9,11,39,39,699.6015625,
4,9,40,40,699.6015625,
4.101,14,41,41,699.6015625,
4.2,12,42,42,699.6015625,
4.301,13,43,43,699.2135417,
4.401,9,44,44,699.2135417,
4.501,9,45,45,699.6015625,
4.6,13,46,46,699.6015625,
4.701,10,47,47,699.6015625,
4.801,5,48,48,699.6015625,
4.9,10,49,49,699.6015625,
5.001,10,50,50,699.6015625,
5.101,6,51,51,699.6015625,
5.201,12,52,52,699.6015625,
5.3,7,53,53,699.6015625,
5.401,12,54,54,699.6015625,
5.501,11,55,55,699.6015625,
5.601,9,56,56,699.6015625,
5.7,8,57,57,699.6015625,
5.8,6,58,58,699.6015625,
5.901,11,59,59,699.6015625,
6,14,60,60,699.6015625,
6.101,12,61,61,699.6015625,
6.201,4,62,62,699.6015625,
6.301,15,63,63,699.6015625,
6.4,16,64,64,699.6015625,
6.501,10,65,65,699.6015625,
6.601,11,66,66,699.6015625,
6.701,10,67,67,699.6015625,
6.8,10,68,68,699.6015625,
6.901,12,69,69,699.6015625,
7.001,12,70,70,699.6015625,
7.101,9,71,71,699.6015625,
7.2,7,72,72,699.6015625,
7.301,20,73,73,699.6015625,
7.401,19,74,74,699.6015625,
7.501,14,75,75,699.6015625,
7.6,16,76,76,699.6015625,
7.701,23,77,77,699.6015625,
7.801,18,78,78,699.6015625,
7.9,15,79,79,699.6015625,
8.001,6,80,80,699.6015625,
8.1,27,81,81,699.6015625,
8.201,21,82,82,699.6015625,
8.3,15,83,83,699.6015625,
8.401,16,84,84,699.6015625,
8.5,24,85,85,699.6015625,
8.601,22,86,86,699.6015625,
8.7,17,87,87,699.9895833,
8.8,18,88,88,699.9895833,
