Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,699.6015625,-2.79
0.1,0,1,1,699.9895833,
0.2,0,2,2,700.3776042,
0.3,0,3,3,704.2578125,
0.401,0,4,4,705.0338542,
0.5,0,5,5,711.6302083,
0.6,0,6,6,714.3463542,
0.7,0,7,7,717.4505208,
0.801,0,8,8,722.1067708,
0.9,0,9,9,722.1067708,
1,0,10,10,722.1067708,
1.101,0,11,11,722.1067708,
1.201,1,12,12,722.1067708,
1.3,0,13,13,722.1067708,
1.4,0,14,14,722.1067708,
1.501,0,15,15,722.1067708,
1.601,4,16,16,722.1067708,
1.7,32,17,17,720.5546875,
1.8,94,18,18,716.6744792,
1.901,125,19,19,716.6744792,
2,125,20,20,716.6744792,
2.1,123,21,21,719.390625,
2.2,121,22,22,716.6744792,
2.301,125,23,23,713.5703125,
2.4,144,24,24,715.8984375,
2.5,160,25,25,715.1223958,
2.601,164,26,26,717.0625,
2.701,142,27,27,717.0625,
2.8,168,28,28,717.0625,
2.9,157,29,29,717.0625,
3.001,159,30,30,717.0625,
3.101,149,31,31,715.1223958,
3.2,170,32,32,715.1223958,
3.3,149,33,33,715.1223958,
3.401,176,34,34,712.0182292,
3.5,156,35,35,712.0182292,
3.6,160,36,36,709.6901042,
3.701,148,37,37,709.6901042,
3.801,194,38,38,708.9140625,
3.9,206,39,39,708.9140625,
4.001,165,40,40,708.9140625,
4.1,169,41,41,708.9140625,
4.201,178,42,42,711.2421875,
4.3,168,43,43,711.2421875,
4.401,202,44,44,709.3020833,
4.5,185,45,45,710.078125,
4.6,174,46,46,710.078125,
4.7,184,47,47,712.0182292,
4.8,190,48,48,718.2265625,
4.901,205,49,49,718.2265625,
5,200,50,50,718.2265625,
5.1,168,51,51,712.40625,
5.2,204,52,52,711.2421875,
5.301,173,53,53,715.1223958,
5.4,227,54,54,715.1223958,
5.5,207,55,55,719.7786458,
5.6,205,56,56,719.7786458,
5.701,213,57,57,719.7786458,
5.8,222,58,58,714.734375,
5.9,198,59,59,714.734375,
6.001,192,60,60,717.4505208,
6.101,203,61,61,721.71875,
6.2,205,62,62,721.71875,
6.301,227,63,63,718.2265625,
6.4,193,64,64,718.2265625,
6.501,220,65,65,713.5703125,
6.601,229,66,66,713.5703125,
6.701,240,67,67,714.734375,
6.8,208,68,68,714.734375,
6.9,240,69,69,714.734375,
7.001,247,70,70,712.40625,
7.1,242,71,71,711.2421875,
7.2,212,72,72,711.2421875,
7.301,250,73,73,710.078125,
7.401,262,74,74,710.078125,
7.5,240,75,75,710.078125,
7.6,220,76,76,710.078125,
7.701,235,77,77,708.9140625,
7.801,250,78,78,708.9140625,
7.9,232,79,79,708.9140625,
8,215,80,80,709.6901042,
8.101,261,81,81,709.3020833,
8.2,269,82,82,710.4661458,
8.3,263,83,83,710.4661458,
8.401,258,84,84,710.4661458,
8.501,244,85,85,710.4661458,
8.6,261,86,86,711.2421875,
8.701,254,87,87,712.7942708,
8.801,243,88,88,712.7942708,
8.901,264,89,89,712.7942708,
9,252,90,90,712.7942708,
9.1,236,91,91,716.2864583,
9.201,258,92,92,716.2864583,
9.301,267,93,93,720.9427083,
9.4,267,94,94,723.2708333,
9.5,244,95,95,723.2708333,
9.601,227,96,96,723.2708333,
9.7,260,97,97,723.2708333,
9.8,270,98,98,723.2708333,
9.901,278,99,99,723.2708333,
10.001,258,100,100,723.2708333,
