Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,699.6015625,-19.93
1,0,1,1,699.9895833,
2.001,0,2,2,699.6015625,
3.001,0,3,3,700.765625,
4,0,4,4,700.3776042,
5.001,0,5,5,700.3776042,
6,0,6,6,699.6015625,
7.001,0,7,7,700.765625,
8.001,0,8,8,700.3776042,
9.001,0,9,9,699.9895833,
10.001,0,10,10,700.765625,
11.001,0,11,11,700.765625,
12.001,0,12,12,700.765625,
13.001,0,13,13,699.9895833,
14,0,14,14,700.765625,
15,0,15,15,700.765625,
16.001,0,16,16,699.9895833,
17,0,17,17,700.3776042,
18.001,0,18,18,700.765625,
19,0,19,19,699.6015625,
20.001,0,20,20,700.3776042,
21,0,21,21,699.6015625,
22.001,0,22,22,699.6015625,
23,0,23,23,700.3776042,
24,0,24,24,699.6015625,
25.001,0,25,25,699.9895833,
26.001,0,26,26,699.6015625,
27,0,27,27,700.3776042,
28.001,0,28,28,699.9895833,
29,0,29,29,700.765625,
30.001,0,30,30,700.3776042,
31.001,1,31,31,700.765625,
32,0,32,32,700.3776042,
33,0,33,33,700.765625,
34.001,2,34,34,700.765625,
35.001,0,35,35,700.765625,
36.001,0,36,36,700.3776042,
37,0,37,37,700.765625,
38.001,1,38,38,700.765625,
39,0,39,39,700.765625,
40.001,3,40,40,700.765625,
41,1,41,41,700.765625,
42.001,1,42,42,700.765625,
43,1,43,43,700.765625,
44,0,44,44,700.765625,
45.001,1,45,45,700.765625,
46.001,0,46,46,700.765625,
47.001,1,47,47,700.765625,
48,2,48,48,700.765625,
49.001,1,49,49,700.765625,
50.001,0,50,50,699.9895833,
51.001,0,51,51,699.9895833,
52.001,1,52,52,699.6015625,
53.001,0,53,53,700.3776042,
54.001,0,54,54,699.9895833,
55,1,55,55,700.3776042,
56.001,0,56,56,699.6015625,
57.001,0,57,57,699.6015625,
58.001,1,58,58,699.9895833,
59,3,59,59,699.6015625,
60,0,60,60,699.6015625,
61,1,61,61,699.6015625,
62.001,0,62,62,699.9895833,
63.001,1,63,63,699.6015625,
64.001,0,64,64,700.3776042,
65,1,65,65,699.9895833,
66.001,0,66,66,699.9895833,
67.001,0,67,67,699.9895833,
68.001,3,68,68,700.765625,
69,0,69,69,700.765625,
70,0,70,70,700.3776042,
71.001,2,71,71,700.765625,
72.001,0,72,72,700.3776042,
73,1,73,73,700.765625,
74.001,0,74,74,700.765625,
75,0,75,75,700.765625,
76.001,0,76,76,700.765625,
77.001,0,77,77,700.765625,
78.001,0,78,78,700.765625,
79,0,79,79,700.765625,
80.001,1,80,80,700.765625,
81.001,1,81,81,700.765625,
82.001,1,82,82,700.765625,
83.001,0,83,83,700.765625,
84,0,84,84,700.765625,
