Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V
0,0,0,0,700.765625
1,0,1,1,699.989583333333
2,0,2,2,700.377604166667
3.001,0,3,3,700.765625
4,0,4,4,700.765625
5.001,0,5,5,700.765625
6,0,6,6,700.765625
7.001,0,7,7,700.377604166667
8,0,8,8,700.765625
9,0,9,9,700.765625
10,0,10,10,700.765625
11.001,0,11,11,700.765625
12,0,12,12,701.541666666667
13.001,0,13,13,700.765625
14,0,14,14,700.765625
15,0,15,15,701.153645833333
16,0,16,16,700.765625
17,0,17,17,700.765625
18.001,0,18,18,701.153645833333
19.001,0,19,19,700.765625
20.001,0,20,20,700.377604166667
21.001,0,21,21,700.765625
22.001,0,22,22,700.765625
23.001,0,23,23,700.765625
24.001,0,24,24,700.765625
25,0,25,25,701.153645833333
26,0,26,26,701.153645833333
27.001,0,27,27,700.765625
28.001,0,28,28,700.765625
29,0,29,29,700.765625
30,0,30,30,700.765625
31.001,0,31,31,700.765625
32.001,0,32,32,700.765625
33.001,0,33,33,700.765625
34.001,0,34,34,700.765625
35,0,35,35,700.377604166667
36,0,36,36,700.765625
37.001,0,37,37,700.765625
38,0,38,38,700.765625
39,0,39,39,700.765625
40,0,40,40,700.765625
41,0,41,41,701.153645833333
42.001,0,42,42,701.153645833333
43.001,1,43,43,701.153645833333
44,0,44,44,700.765625
45,0,45,45,700.377604166667
46,3,46,46,700.765625
47.001,1,47,47,700.765625
48,1,48,48,699.989583333333
49,1,49,49,700.765625
50,1,50,50,700.765625
51.001,1,51,51,700.765625
52.001,2,52,52,700.765625
53,0,53,53,700.765625
54,0,54,54,701.153645833333
55.001,2,55,55,701.153645833333
56,0,56,56,701.9296875
57,0,57,57,701.153645833333
58.001,0,58,58,700.377604166667
59.001,1,59,59,700.765625
60,0,60,60,699.989583333333
61.001,0,61,61,700.765625
62.001,1,62,62,700.765625
63.001,1,63,63,699.6015625
64.001,2,64,64,700.765625
65.001,0,65,65,700.765625
66.001,0,66,66,700.765625
67,0,67,67,701.541666666667
68,0,68,68,701.153645833333
69.001,0,69,69,701.153645833333
70,0,70,70,700.765625
71.001,0,71,71,700.765625
72.001,0,72,72,700.765625
73.001,0,73,73,700.377604166667
74,0,74,74,700.765625
75.001,0,75,75,700.377604166667
76,0,76,76,699.989583333333
