Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,704.2578125,-19.93
1.001,0,1,1,700.765625,
2,0,2,2,700.765625,
3,0,3,3,701.1536458,
4,0,4,4,700.765625,
5,0,5,5,700.765625,
6.001,0,6,6,700.765625,
7,0,7,7,701.5416667,
8,0,8,8,700.765625,
9.001,0,9,9,699.6015625,
9.999,0,10,10,700.3776042,
11.001,0,11,11,699.9895833,
12,0,12,12,700.3776042,
13.001,0,13,13,700.3776042,
14,0,14,14,700.765625,
14.999,0,15,15,700.765625,
16.001,0,16,16,700.765625,
17.001,0,17,17,700.765625,
18.001,0,18,18,700.765625,
19.001,0,19,19,700.765625,
19.999,0,20,20,701.1536458,
21.001,0,21,21,700.765625,
22,0,22,22,700.765625,
23.001,0,23,23,700.765625,
24,0,24,24,700.3776042,
25,0,25,25,700.765625,
26.001,0,26,26,699.6015625,
27,0,27,27,700.765625,
28,0,28,28,701.1536458,
29.001,0,29,29,700.765625,
30,0,30,30,699.9895833,
31,0,31,31,700.765625,
32.001,0,32,32,700.765625,
33.001,0,33,33,700.765625,
34.001,0,34,34,700.765625,
35.001,1,35,35,701.1536458,
36.001,0,36,36,700.765625,
37.001,0,37,37,700.765625,
38.001,0,38,38,700.765625,
39.001,0,39,39,700.765625,
40,0,40,40,700.765625,
41,2,41,41,700.765625,
42.001,1,42,42,700.765625,
43.001,0,43,43,700.765625,
44.001,0,44,44,700.765625,
45.001,0,45,45,699.6015625,
46.001,0,46,46,700.3776042,
47,0,47,47,700.3776042,
48,1,48,48,699.6015625,
49,0,49,49,700.765625,
50.001,0,50,50,699.6015625,
51,0,51,51,700.765625,
52.001,1,52,52,700.3776042,
53.001,0,53,53,700.765625,
54,1,54,54,700.3776042,
55,0,55,55,700.765625,
56,0,56,56,701.1536458,
57.001,0,57,57,700.765625,
57.999,1,58,58,700.765625,
59.001,1,59,59,700.765625,
60.001,0,60,60,700.765625,
61.001,0,61,61,701.1536458,
62,0,62,62,701.1536458,
63,0,63,63,700.765625,
64.001,1,64,64,700.765625,
65,0,65,65,700.765625,
66,0,66,66,700.765625,
67,0,67,67,700.765625,
68.001,0,68,68,701.1536458,
69,0,69,69,700.765625,
70.002,0,70,70,700.3776042,
70.999,2,71,71,700.765625,
72.001,0,72,72,699.9895833,
73.001,0,73,73,700.765625,
74.001,0,74,74,700.3776042,
75,1,75,75,700.3776042,
76.001,1,76,76,699.9895833,
77,0,77,77,700.3776042,
78,0,78,78,699.9895833,
79.001,1,79,79,699.6015625,
80.001,0,80,80,700.765625,
81,0,81,81,699.9895833,
82,1,82,82,700.765625,
83.001,0,83,83,700.3776042,
84.001,0,84,84,700.3776042,
85.001,1,85,85,700.765625,
86,1,86,86,700.3776042,
87,1,87,87,700.3776042,
88,1,88,88,700.3776042,
89,0,89,89,700.765625,
90,1,90,90,700.3776042,
91.001,0,91,91,700.765625,
92,0,92,92,700.765625,
93.001,1,93,93,700.765625,
94,0,94,94,701.1536458,
95,0,95,95,701.1536458,
95.999,0,96,96,700.765625,
97,0,97,97,700.765625,
98.001,0,98,98,700.765625,
99,0,99,99,700.765625,
100.001,0,100,100,700.765625,
101.006,1,101,101,700.765625,
102,0,102,102,701.5416667,
103,0,103,103,700.765625,
104,0,104,104,700.765625,
105.001,0,105,105,700.765625,
106,1,106,106,700.765625,
107.001,2,107,107,700.765625,
108,0,108,108,700.765625,
109.001,0,109,109,700.765625,
110.001,1,110,110,700.765625,
111,0,111,111,700.765625,
112.001,2,112,112,701.5416667,
113,0,113,113,700.765625,
114.001,0,114,114,700.765625,
115,1,115,115,700.765625,
116.001,0,116,116,700.765625,
117.001,3,117,117,700.3776042,
118,1,118,118,700.765625,
119,1,119,119,699.9895833,
120,1,120,120,700.765625,
121.001,0,121,121,700.3776042,
121.999,0,122,122,699.9895833,
123.001,0,123,123,699.6015625,
124,1,124,124,700.3776042,
125.001,0,125,125,700.765625,
126.001,0,126,126,700.765625,
127,0,127,127,700.765625,
128,2,128,128,699.9895833,
129.001,1,129,129,700.765625,
130.003,1,130,130,700.765625,
131,3,131,131,700.765625,
132.001,0,132,132,700.765625,
133,0,133,133,700.765625,
134,0,134,134,700.765625,
135,0,135,135,700.765625,
136.001,1,136,136,700.765625,
137.001,0,137,137,700.765625,
138,1,138,138,700.765625,
139.001,1,139,139,700.3776042,
140.001,1,140,140,700.765625,
141,1,141,141,700.765625,
142,0,142,142,700.3776042,
143.001,0,143,143,700.3776042,
144,1,144,144,700.3776042,
145.001,1,145,145,699.9895833,
146,0,146,146,699.6015625,
147.001,1,147,147,699.9895833,
148,0,148,148,700.765625,
149,0,149,149,700.3776042,
150.001,1,150,150,700.765625,
151,1,151,151,700.765625,
152,1,152,152,701.1536458,
153.001,1,153,153,701.1536458,
154,1,154,154,701.5416667,
155.001,0,155,155,700.765625,
156,1,156,156,701.1536458,
157.001,1,157,157,700.765625,
