Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,701.9296875,-2.79
1.001,0,1,1,701.1536458,
2,0,2,2,701.5416667,
3,0,3,3,701.5416667,
4.001,0,4,4,703.4817708,
5.001,0,5,5,702.7057292,
6,0,6,6,701.9296875,
7,0,7,7,701.9296875,
8,0,8,8,704.2578125,
9,0,9,9,702.3177083,
10.001,0,10,10,701.5416667,
11.001,0,11,11,701.9296875,
12.001,0,12,12,701.9296875,
13.001,0,13,13,701.9296875,
14,0,14,14,701.5416667,
15,0,15,15,701.5416667,
16.001,0,16,16,701.1536458,
17.001,0,17,17,700.765625,
18.001,5,18,18,701.1536458,
19.001,5,19,19,701.5416667,
20.001,2,20,20,700.765625,
21,13,21,21,701.9296875,
22,7,22,22,701.1536458,
23,14,23,23,701.5416667,
24.001,10,24,24,701.9296875,
25.001,11,25,25,701.9296875,
26,15,26,26,701.9296875,
27,9,27,27,701.1536458,
28.001,8,28,28,701.9296875,
29.001,12,29,29,703.8697917,
30,13,30,30,701.9296875,
31.001,9,31,31,701.9296875,
32,14,32,32,702.3177083,
33.001,6,33,33,701.1536458,
34.001,11,34,34,701.5416667,
35,12,35,35,701.1536458,
36,15,36,36,701.1536458,
37.001,10,37,37,701.1536458,
38,10,38,38,701.1536458,
39,14,39,39,700.765625,
40,10,40,40,701.1536458,
41.001,14,41,41,702.3177083,
42.001,8,42,42,701.9296875,
43.001,13,43,43,701.9296875,
44.001,15,44,44,701.9296875,
45,13,45,45,701.1536458,
46,18,46,46,700.765625,
47,17,47,47,701.1536458,
48,8,48,48,701.9296875,
49,16,49,49,701.9296875,
50.001,6,50,50,701.5416667,
51,12,51,51,701.1536458,
52,12,52,52,701.9296875,
53.001,12,53,53,701.5416667,
54.001,13,54,54,701.5416667,
54.999,9,55,55,701.1536458,
56.001,15,56,56,700.765625,
57,18,57,57,701.1536458,
58.001,10,58,58,701.5416667,
59.001,13,59,59,700.765625,
60,14,60,60,703.4817708,
61.001,16,61,61,700.765625,
62.001,16,62,62,701.9296875,
63,19,63,63,701.9296875,
64.001,15,64,64,701.9296875,
65,14,65,65,700.765625,
66.001,10,66,66,703.4817708,
67.001,13,67,67,705.8098958,
68.001,7,68,68,701.9296875,
69.001,23,69,69,701.9296875,
70,18,70,70,701.9296875,
71.001,16,71,71,701.9296875,
72.001,20,72,72,701.5416667,
73.001,10,73,73,701.1536458,
74,13,74,74,701.1536458,
75,15,75,75,703.8697917,
76.001,14,76,76,700.765625,
77.001,15,77,77,701.9296875,
78,15,78,78,703.8697917,
79.001,13,79,79,701.9296875,
80.001,21,80,80,701.5416667,
81,8,81,81,701.9296875,
82,7,82,82,700.765625,
83,17,83,83,701.9296875,
84,13,84,84,701.9296875,
85,14,85,85,702.3177083,
86.001,10,86,86,701.5416667,
87,15,87,87,701.1536458,
88,15,88,88,700.765625,
89,20,89,89,701.1536458,
90,17,90,90,701.1536458,
91,10,91,91,700.765625,
92,12,92,92,703.8697917,
93.001,21,93,93,700.765625,
94.001,19,94,94,701.9296875,
95.001,27,95,95,701.9296875,
96.001,17,96,96,701.9296875,
97.001,17,97,97,701.9296875,
98.001,12,98,98,701.9296875,
99,18,99,99,701.1536458,
100,29,100,100,701.1536458,
101,16,101,101,701.1536458,
102.001,22,102,102,700.765625,
103,16,103,103,700.765625,
104,13,104,104,701.1536458,
105.001,13,105,105,700.765625,
106.001,16,106,106,701.9296875,
107.001,14,107,107,702.3177083,
108.001,19,108,108,701.9296875,
109,19,109,109,701.9296875,
110,18,110,110,701.1536458,
111.001,30,111,111,701.9296875,
112.001,15,112,112,701.9296875,
113,18,113,113,701.1536458,
114.001,19,114,114,703.8697917,
115.001,6,115,115,701.5416667,
116.001,14,116,116,701.1536458,
117.001,23,117,117,702.3177083,
118.001,20,118,118,700.765625,
118.999,29,119,119,701.1536458,
120.001,23,120,120,701.9296875,
121.001,24,121,121,701.5416667,
122.001,20,122,122,701.9296875,
123.001,26,123,123,701.5416667,
124.001,22,124,124,701.9296875,
125,29,125,125,701.5416667,
126.001,39,126,126,701.1536458,
127,26,127,127,700.765625,
128,21,128,128,701.5416667,
129.001,29,129,129,702.3177083,
130.001,32,130,130,700.765625,
131.001,29,131,131,700.765625,
132.001,38,132,132,701.5416667,
133.001,36,133,133,700.765625,
134,34,134,134,701.1536458,
135,28,135,135,701.5416667,
136,30,136,136,701.9296875,
137.001,28,137,137,700.765625,
138,35,138,138,701.9296875,
139,33,139,139,701.1536458,
139.999,33,140,140,701.5416667,
141.001,35,141,141,701.5416667,
142.001,27,142,142,701.5416667,
143.001,24,143,143,703.09375,
144,25,144,144,701.5416667,
145.001,21,145,145,701.5416667,
146,28,146,146,701.5416667,
147,24,147,147,701.9296875,
148.001,22,148,148,702.7057292,
149,28,149,149,701.1536458,
150,26,150,150,701.5416667,
151,31,151,151,701.9296875,
152.001,24,152,152,700.765625,
153.001,14,153,153,701.1536458,
154,28,154,154,703.8697917,
155.001,16,155,155,701.1536458,
156.001,22,156,156,701.9296875,
157,14,157,157,701.5416667,
158,30,158,158,701.5416667,
159.001,22,159,159,700.765625,
160,16,160,160,700.765625,
161,15,161,161,701.5416667,
162,26,162,162,700.765625,
163.001,25,163,163,700.765625,
164,19,164,164,701.9296875,
165,16,165,165,701.5416667,
166,20,166,166,701.5416667,
167.001,16,167,167,700.765625,
168.001,18,168,168,701.9296875,
169,25,169,169,701.9296875,
170,20,170,170,701.5416667,
171,18,171,171,701.9296875,
172,27,172,172,700.3776042,
173,18,173,173,701.9296875,
174.001,22,174,174,700.765625,
175.001,18,175,175,701.9296875,
176.001,26,176,176,701.1536458,
177,17,177,177,701.5416667,
178.001,11,178,178,706.1979167,
179.001,17,179,179,701.1536458,
180.001,19,180,180,701.9296875,
181,22,181,181,701.1536458,
182.001,23,182,182,700.765625,
183.001,12,183,183,700.765625,
184,17,184,184,700.765625,
185.001,17,185,185,700.765625,
186,23,186,186,701.5416667,
187,22,187,187,700.765625,
188.001,22,188,188,701.5416667,
189.001,21,189,189,700.765625,
190.001,17,190,190,701.1536458,
191,19,191,191,700.765625,
192.001,24,192,192,700.765625,
193.001,22,193,193,701.9296875,
194.001,17,194,194,704.6458333,
195,25,195,195,702.7057292,
196.001,23,196,196,701.9296875,
197.001,23,197,197,701.1536458,
198.001,14,198,198,701.9296875,
199,23,199,199,701.1536458,
200,27,200,200,701.9296875,
201,21,201,201,701.9296875,
202.001,25,202,202,701.5416667,
203.001,22,203,203,701.5416667,
204,14,204,204,699.9895833,
205.001,18,205,205,701.1536458,
206.001,23,206,206,700.765625,
207,17,207,207,700.765625,
208,20,208,208,702.7057292,
209.001,22,209,209,701.1536458,
210.001,25,210,210,701.1536458,
211.001,16,211,211,701.9296875,
211.999,19,212,212,701.5416667,
213,23,213,213,701.5416667,
214,21,214,214,700.765625,
215,23,215,215,701.5416667,
216,16,216,216,701.1536458,
217.001,33,217,217,700.765625,
218.001,26,218,218,700.765625,
219,28,219,219,700.765625,
220,16,220,220,700.765625,
221,20,221,221,701.1536458,
221.999,27,222,222,701.1536458,
223.001,13,223,223,701.5416667,
224.001,16,224,224,701.5416667,
225,33,225,225,701.9296875,
226,18,226,226,701.9296875,
227,26,227,227,701.9296875,
228,15,228,228,707.3619792,
229.001,21,229,229,701.9296875,
230,23,230,230,700.765625,
231.001,21,231,231,700.765625,
232.001,19,232,232,702.7057292,
233,20,233,233,701.1536458,
234,26,234,234,701.5416667,
235,14,235,235,701.9296875,
236,16,236,236,700.765625,
237.001,16,237,237,701.1536458,
238,27,238,238,701.9296875,
239,24,239,239,701.1536458,
240,21,240,240,701.5416667,
241.001,29,241,241,700.765625,
242,23,242,242,701.1536458,
243,26,243,243,701.1536458,
244.001,14,244,244,705.0338542,
245,27,245,245,701.5416667,
246.001,25,246,246,701.9296875,
247,14,247,247,703.09375,
247.999,16,248,248,705.0338542,
249.001,11,249,249,701.9296875,
250.001,19,250,250,703.09375,
251,19,251,251,701.1536458,
252.001,15,252,252,700.765625,
253.001,18,253,253,701.1536458,
254.001,20,254,254,700.765625,
255,26,255,255,701.9296875,
256.001,24,256,256,702.7057292,
257,20,257,257,701.9296875,
258.001,15,258,258,701.1536458,
259,20,259,259,703.09375,
260,34,260,260,701.1536458,
261,20,261,261,700.765625,
262,18,262,262,700.765625,
263.001,23,263,263,700.765625,
264.001,20,264,264,701.1536458,
264.999,24,265,265,701.1536458,
266.001,20,266,266,701.5416667,
267,17,267,267,702.3177083,
268,27,268,268,700.765625,
269.001,20,269,269,701.1536458,
270.001,16,270,270,701.5416667,
271,25,271,271,701.1536458,
272.001,14,272,272,701.9296875,
273.001,22,273,273,701.1536458,
274,18,274,274,701.9296875,
275,17,275,275,701.1536458,
276.001,22,276,276,700.765625,
277.001,30,277,277,700.765625,
278,27,278,278,700.765625,
279,26,279,279,700.3776042,
280,25,280,280,701.5416667,
281.001,17,281,281,702.3177083,
282.001,22,282,282,701.5416667,
282.999,28,283,283,701.1536458,
284,27,284,284,701.9296875,
285.001,21,285,285,701.1536458,
286.001,21,286,286,699.9895833,
287.001,27,287,287,701.1536458,
288.001,22,288,288,701.9296875,
289.001,17,289,289,701.5416667,
290.001,22,290,290,701.9296875,
290.999,18,291,291,703.8697917,
292.001,17,292,292,701.1536458,
293,31,293,293,701.1536458,
294.001,25,294,294,700.765625,
295,18,295,295,701.5416667,
296,21,296,296,701.9296875,
297,22,297,297,700.765625,
298.001,23,298,298,701.1536458,
299,21,299,299,701.5416667,
300,34,300,300,701.9296875,
,23,301,301,,
,26,302,302,,
,22,303,303,,
,18,304,304,,
,25,305,305,,
,32,306,306,,
,13,307,307,,
,19,308,308,,
,23,309,309,,
,21,310,310,,
,23,311,311,,
,27,312,312,,
,19,313,313,,
,26,314,314,,
,17,315,315,,
,19,316,316,,
,23,317,317,,
,20,318,318,,
,24,319,319,,
,18,320,320,,
,21,321,321,,
,16,322,322,,
,25,323,323,,
,24,324,324,,
,20,325,325,,
,24,326,326,,
,15,327,327,,
,20,328,328,,
,20,329,329,,
,27,330,330,,
,25,331,331,,
,13,332,332,,
,24,333,333,,
,16,334,334,,
,25,335,335,,
,24,336,336,,
,24,337,337,,
,21,338,338,,
,19,339,339,,
,17,340,340,,
,20,341,341,,
,14,342,342,,
,17,343,343,,
,21,344,344,,
,14,345,345,,
,9,346,346,,
,26,347,347,,
,23,348,348,,
,28,349,349,,
,16,350,350,,
,24,351,351,,
,21,352,352,,
,18,353,353,,
,20,354,354,,
,20,355,355,,
,14,356,356,,
,17,357,357,,
,26,358,358,,
,22,359,359,,
,18,360,360,,
,19,361,361,,
,19,362,362,,
,23,363,363,,
,14,364,364,,
,15,365,365,,
,29,366,366,,
,25,367,367,,
,11,368,368,,
,18,369,369,,
,15,370,370,,
,8,371,371,,
,18,372,372,,
,14,373,373,,
,23,374,374,,
,22,375,375,,
,16,376,376,,
,20,377,377,,
,26,378,378,,
,18,379,379,,
,27,380,380,,
,25,381,381,,
,24,382,382,,
,24,383,383,,
,22,384,384,,
,25,385,385,,
,26,386,386,,
,15,387,387,,
,14,388,388,,
,20,389,389,,
,19,390,390,,
,22,391,391,,
,20,392,392,,
,15,393,393,,
,18,394,394,,
,23,395,395,,
,18,396,396,,
,29,397,397,,
,21,398,398,,
,16,399,399,,
,17,400,400,,
,21,401,401,,
,18,402,402,,
,24,403,403,,
,19,404,404,,
,18,405,405,,
,21,406,406,,
,23,407,407,,
,17,408,408,,
,18,409,409,,
,19,410,410,,
,16,411,411,,
,11,412,412,,
,19,413,413,,
,15,414,414,,
,18,415,415,,
,26,416,416,,
,21,417,417,,
,23,418,418,,
,16,419,419,,
,24,420,420,,
,19,421,421,,
,18,422,422,,
,11,423,423,,
,19,424,424,,
,13,425,425,,
,16,426,426,,
,29,427,427,,
,17,428,428,,
,16,429,429,,
,23,430,430,,
,21,431,431,,
,12,432,432,,
,20,433,433,,
,27,434,434,,
,18,435,435,,
