Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,701.9296875,-4.29
1.001,0,1,1,701.9296875,
2.001,0,2,2,701.5416667,
3,0,3,3,701.9296875,
4.001,0,4,4,701.5416667,
5.001,0,5,5,701.1536458,
6.001,0,6,6,700.765625,
7.001,0,7,7,700.765625,
8.001,0,8,8,701.1536458,
9.001,0,9,9,700.765625,
10.001,0,10,10,701.5416667,
11.001,0,11,11,701.9296875,
12,0,12,12,701.9296875,
13.001,0,13,13,701.5416667,
14.001,0,14,14,701.9296875,
15.001,0,15,15,701.9296875,
16.001,0,16,16,701.9296875,
17.001,0,17,17,701.5416667,
18.001,0,18,18,700.765625,
19.001,0,19,19,700.765625,
20.001,0,20,20,700.765625,
21.001,0,21,21,700.765625,
22.001,0,22,22,700.765625,
23.001,0,23,23,701.1536458,
24,0,24,24,701.9296875,
25,0,25,25,701.9296875,
26.001,0,26,26,701.9296875,
27,0,27,27,701.9296875,
28,3,28,28,701.5416667,
29.001,2,29,29,701.9296875,
30,2,30,30,701.1536458,
31,6,31,31,701.9296875,
32.001,2,32,32,701.9296875,
33,4,33,33,701.9296875,
34,4,34,34,701.1536458,
35,11,35,35,701.1536458,
36.001,4,36,36,700.765625,
37.001,3,37,37,700.765625,
38.001,1,38,38,700.765625,
39.001,5,39,39,701.5416667,
40,4,40,40,701.5416667,
41.001,1,41,41,701.5416667,
42.001,2,42,42,701.9296875,
43.001,7,43,43,701.9296875,
44,7,44,44,701.9296875,
45.001,5,45,45,701.9296875,
46.001,5,46,46,701.1536458,
47.001,5,47,47,701.5416667,
48.001,10,48,48,701.9296875,
49,4,49,49,700.765625,
50.001,6,50,50,701.1536458,
51.001,4,51,51,701.1536458,
52,6,52,52,700.765625,
52.999,4,53,53,700.765625,
54.001,6,54,54,700.765625,
55.001,4,55,55,700.765625,
56,11,56,56,701.1536458,
57.001,8,57,57,700.765625,
58.001,5,58,58,701.1536458,
59.001,10,59,59,701.9296875,
60,7,60,60,701.9296875,
61.001,5,61,61,701.5416667,
62,4,62,62,701.9296875,
63.001,10,63,63,701.9296875,
64.001,3,64,64,701.9296875,
65,9,65,65,701.5416667,
66,6,66,66,701.5416667,
67,9,67,67,701.1536458,
68.001,10,68,68,701.5416667,
69,5,69,69,700.765625,
70,15,70,70,700.765625,
71,8,71,71,700.765625,
72,10,72,72,701.1536458,
73.001,4,73,73,700.765625,
74.001,3,74,74,701.1536458,
75,7,75,75,700.765625,
76.001,8,76,76,701.1536458,
77.001,5,77,77,701.9296875,
78,8,78,78,701.9296875,
79.001,8,79,79,701.5416667,
80,13,80,80,701.1536458,
81.002,5,81,81,701.9296875,
82,7,82,82,701.9296875,
83,9,83,83,701.9296875,
84.001,11,84,84,701.5416667,
85.001,13,85,85,701.1536458,
86,12,86,86,701.5416667,
87.001,9,87,87,700.765625,
88.001,12,88,88,700.765625,
89,19,89,89,700.765625,
90.001,7,90,90,700.765625,
91,8,91,91,700.765625,
92,12,92,92,701.1536458,
93,9,93,93,701.9296875,
94.001,7,94,94,700.765625,
95.001,12,95,95,701.5416667,
95.999,9,96,96,701.5416667,
97,8,97,97,701.9296875,
98.001,7,98,98,701.9296875,
99.001,12,99,99,700.765625,
100.001,5,100,100,701.9296875,
101.001,11,101,101,701.1536458,
102.001,6,102,102,701.9296875,
103.001,9,103,103,701.9296875,
104,8,104,104,701.5416667,
105.001,12,105,105,701.1536458,
106.001,17,106,106,701.5416667,
107.001,11,107,107,701.9296875,
108,8,108,108,700.765625,
109,12,109,109,700.765625,
110,6,110,110,700.765625,
111.001,7,111,111,700.765625,
112.001,7,112,112,700.765625,
113,9,113,113,700.765625,
114,8,114,114,700.765625,
115.001,9,115,115,701.9296875,
116.001,8,116,116,701.5416667,
117.001,6,117,117,701.5416667,
118.001,8,118,118,701.9296875,
119,4,119,119,701.9296875,
120,11,120,120,701.9296875,
121.001,8,121,121,701.9296875,
122.001,10,122,122,701.1536458,
123,13,123,123,701.9296875,
124.001,8,124,124,700.765625,
125,7,125,125,700.765625,
126,13,126,126,700.3776042,
127,9,127,127,700.765625,
128,14,128,128,700.765625,
129.001,10,129,129,701.1536458,
130.001,6,130,130,701.5416667,
131.001,7,131,131,701.9296875,
132.001,9,132,132,701.9296875,
133,10,133,133,701.5416667,
134.001,9,134,134,701.9296875,
135.001,12,135,135,701.9296875,
136,9,136,136,701.5416667,
137,15,137,137,701.9296875,
138.001,14,138,138,701.1536458,
139,13,139,139,701.5416667,
140.001,15,140,140,700.765625,
141,6,141,141,701.5416667,
142.001,13,142,142,700.765625,
143,10,143,143,700.765625,
144,9,144,144,700.765625,
145.001,10,145,145,701.5416667,
146.001,7,146,146,700.765625,
147.001,5,147,147,700.765625,
148.001,11,148,148,701.1536458,
149.001,14,149,149,701.1536458,
150.001,6,150,150,701.9296875,
151.001,5,151,151,701.5416667,
152.001,11,152,152,701.9296875,
153.001,8,153,153,701.9296875,
154.001,11,154,154,701.5416667,
155.001,13,155,155,701.5416667,
156.001,9,156,156,701.5416667,
157.001,5,157,157,701.9296875,
158.001,13,158,158,702.7057292,
159.001,10,159,159,701.1536458,
160,10,160,160,701.1536458,
161.001,16,161,161,700.3776042,
162,17,162,162,699.9895833,
163.001,19,163,163,700.765625,
164.001,8,164,164,700.765625,
165,10,165,165,701.9296875,
166.001,14,166,166,701.1536458,
167.001,12,167,167,700.765625,
168,12,168,168,701.1536458,
169.001,11,169,169,701.9296875,
170.001,8,170,170,701.1536458,
171.001,13,171,171,701.9296875,
172,16,172,172,701.1536458,
173.001,11,173,173,701.9296875,
174,10,174,174,700.765625,
175.001,14,175,175,700.765625,
176.001,15,176,176,700.765625,
177,18,177,177,700.765625,
178,10,178,178,701.5416667,
179,13,179,179,700.765625,
180,19,180,180,701.5416667,
181,18,181,181,701.1536458,
182,20,182,182,701.9296875,
183,22,183,183,700.765625,
184.001,20,184,184,700.765625,
185.001,28,185,185,700.765625,
186.001,24,186,186,700.765625,
187.001,11,187,187,700.765625,
188.001,22,188,188,700.765625,
189,32,189,189,701.1536458,
190.001,24,190,190,701.9296875,
191,25,191,191,701.9296875,
192,32,192,192,701.5416667,
193,31,193,193,701.9296875,
194,26,194,194,700.765625,
195.001,28,195,195,700.765625,
196.001,27,196,196,700.765625,
197.001,26,197,197,700.765625,
198.001,24,198,198,700.765625,
199.001,30,199,199,700.765625,
200.001,37,200,200,701.9296875,
201.001,34,201,201,701.9296875,
202,32,202,202,700.765625,
203.001,27,203,203,701.1536458,
204.001,25,204,204,701.1536458,
205.001,38,205,205,701.1536458,
206,29,206,206,701.1536458,
207.001,28,207,207,700.765625,
208.001,20,208,208,701.1536458,
209.001,20,209,209,701.9296875,
210.001,18,210,210,701.5416667,
211,28,211,211,701.1536458,
212.001,30,212,212,700.765625,
213,22,213,213,700.765625,
214.001,30,214,214,700.765625,
215.001,14,215,215,700.765625,
216,30,216,216,700.765625,
217,27,217,217,700.765625,
218.001,19,218,218,700.765625,
219,20,219,219,701.5416667,
220,27,220,220,701.1536458,
221.001,19,221,221,700.765625,
222,30,222,222,700.765625,
223.001,19,223,223,701.5416667,
224.001,25,224,224,701.5416667,
225,26,225,225,701.1536458,
226.001,23,226,226,700.765625,
227.001,18,227,227,700.765625,
227.999,16,228,228,700.765625,
229.001,25,229,229,701.5416667,
230,22,230,230,701.9296875,
231,13,231,231,700.765625,
232,13,232,232,700.765625,
233.001,18,233,233,701.1536458,
234.001,16,234,234,700.765625,
235,15,235,235,700.765625,
236,24,236,236,701.9296875,
237,13,237,237,700.765625,
238,23,238,238,700.765625,
239.001,24,239,239,700.765625,
240.001,11,240,240,700.3776042,
241,17,241,241,701.1536458,
242,18,242,242,701.1536458,
243.001,13,243,243,701.5416667,
244.001,16,244,244,700.765625,
245.001,10,245,245,700.765625,
246.001,19,246,246,701.1536458,
247,16,247,247,700.765625,
248,16,248,248,700.765625,
249.001,12,249,249,701.1536458,
250.001,16,250,250,701.9296875,
251,16,251,251,700.765625,
252.001,12,252,252,700.765625,
253,23,253,253,700.765625,
254.001,12,254,254,700.765625,
255.001,21,255,255,701.5416667,
256.001,19,256,256,701.1536458,
257,21,257,257,700.765625,
258.001,17,258,258,700.765625,
259,16,259,259,700.765625,
260.001,14,260,260,699.9895833,
261.001,17,261,261,700.765625,
262,22,262,262,701.1536458,
263.001,19,263,263,700.765625,
264,20,264,264,700.765625,
265.001,12,265,265,700.765625,
266.001,10,266,266,700.3776042,
267,20,267,267,701.1536458,
268,18,268,268,700.765625,
269,21,269,269,700.765625,
270.001,16,270,270,700.765625,
271,17,271,271,700.765625,
272.001,14,272,272,700.765625,
273.001,11,273,273,700.765625,
274,16,274,274,700.765625,
275.001,10,275,275,701.5416667,
276,14,276,276,700.765625,
277,18,277,277,700.765625,
278.001,22,278,278,700.765625,
279,16,279,279,701.5416667,
280.001,20,280,280,701.9296875,
281,7,281,281,701.1536458,
282.001,22,282,282,700.765625,
282.999,17,283,283,700.3776042,
284.001,23,284,284,700.765625,
285,19,285,285,700.765625,
286,16,286,286,701.1536458,
287.001,18,287,287,701.1536458,
288.001,24,288,288,700.765625,
289.001,12,289,289,700.765625,
289.999,19,290,290,700.765625,
291.001,28,291,291,700.765625,
292,14,292,292,701.9296875,
293,25,293,293,701.1536458,
294.001,24,294,294,700.765625,
295,18,295,295,700.3776042,
296,15,296,296,701.1536458,
297,16,297,297,700.765625,
298.001,19,298,298,701.1536458,
299,20,299,299,700.765625,
300.001,15,300,300,700.765625,
301,16,301,301,701.1536458,
302.001,18,302,302,700.765625,
303,12,303,303,701.1536458,
304.001,20,304,304,701.9296875,
305,16,305,305,700.765625,
306.001,15,306,306,700.765625,
307,20,307,307,701.5416667,
308.001,18,308,308,700.765625,
308.999,22,309,309,700.765625,
310.001,23,310,310,700.765625,
311,17,311,311,700.765625,
312,18,312,312,700.765625,
313,21,313,313,701.9296875,
314,24,314,314,700.765625,
315.001,28,315,315,700.765625,
316,15,316,316,700.765625,
317,9,317,317,700.765625,
318.001,18,318,318,700.765625,
319.001,16,319,319,701.5416667,
320,22,320,320,701.1536458,
321.001,13,321,321,700.765625,
