Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,698.4375,-8.04
1,0,1,1,700.765625,
2.001,0,2,2,700.765625,
3,0,3,3,701.1536458,
4,0,4,4,701.9296875,
5,0,5,5,701.9296875,
6.001,0,6,6,701.1536458,
7.004,0,7,7,701.5416667,
8,0,8,8,700.765625,
9,0,9,9,700.765625,
10,0,10,10,700.765625,
11,0,11,11,701.9296875,
12,0,12,12,701.9296875,
13,0,13,13,701.5416667,
14,0,14,14,700.765625,
15,0,15,15,700.765625,
16.001,0,16,16,700.765625,
17,0,17,17,700.765625,
18,0,18,18,701.1536458,
19.001,0,19,19,701.1536458,
20.001,0,20,20,701.5416667,
21,0,21,21,701.1536458,
22,2,22,22,701.9296875,
23,0,23,23,700.765625,
24.001,0,24,24,700.765625,
25.001,1,25,25,701.1536458,
26,0,26,26,701.5416667,
27.001,0,27,27,701.9296875,
28,1,28,28,700.765625,
29,3,29,29,701.1536458,
30,2,30,30,701.1536458,
31.001,1,31,31,700.765625,
32.001,4,32,32,700.765625,
33.001,1,33,33,701.9296875,
34.001,2,34,34,701.9296875,
35,1,35,35,701.5416667,
36.001,2,36,36,700.765625,
37.001,0,37,37,700.765625,
38,3,38,38,700.765625,
39.001,1,39,39,700.765625,
40,0,40,40,700.765625,
41.001,1,41,41,701.9296875,
42.001,1,42,42,701.9296875,
43,0,43,43,701.5416667,
44,2,44,44,700.765625,
45.001,1,45,45,700.765625,
46,0,46,46,701.5416667,
47.001,3,47,47,700.765625,
48.001,1,48,48,700.765625,
49.001,1,49,49,701.9296875,
50,2,50,50,701.9296875,
51.001,1,51,51,701.5416667,
52,1,52,52,701.5416667,
53.001,4,53,53,700.765625,
54.001,2,54,54,700.765625,
55.001,2,55,55,700.765625,
56.001,5,56,56,700.765625,
57.001,5,57,57,701.5416667,
58,2,58,58,701.9296875,
59,2,59,59,701.9296875,
60,1,60,60,701.1536458,
61,0,61,61,701.1536458,
62.001,6,62,62,700.765625,
63,0,63,63,700.765625,
64.001,2,64,64,700.765625,
65,4,65,65,700.765625,
66,2,66,66,701.1536458,
67,0,67,67,701.5416667,
68.001,5,68,68,701.9296875,
69.001,2,69,69,701.1536458,
70,3,70,70,701.5416667,
71,3,71,71,701.5416667,
72,4,72,72,700.765625,
73,2,73,73,700.765625,
74.001,1,74,74,701.1536458,
75.001,4,75,75,700.765625,
76,3,76,76,701.1536458,
77.001,2,77,77,701.9296875,
78.001,3,78,78,701.9296875,
79,2,79,79,701.5416667,
80.001,2,80,80,701.5416667,
81.001,2,81,81,700.765625,
82.001,2,82,82,700.765625,
83,3,83,83,700.765625,
84.001,2,84,84,700.765625,
85,2,85,85,700.765625,
86,1,86,86,701.5416667,
87.001,4,87,87,701.9296875,
88,2,88,88,701.9296875,
89.001,2,89,89,700.765625,
90.001,3,90,90,701.5416667,
91.001,3,91,91,701.9296875,
92,3,92,92,701.5416667,
93,3,93,93,701.1536458,
94,1,94,94,700.765625,
95.001,1,95,95,700.765625,
96,2,96,96,700.765625,
97.001,6,97,97,700.765625,
98.001,2,98,98,700.765625,
99,2,99,99,701.1536458,
100,1,100,100,701.5416667,
101.001,3,101,101,701.9296875,
102,1,102,102,701.5416667,
103,1,103,103,701.9296875,
104,4,104,104,701.9296875,
105,3,105,105,701.1536458,
106.001,2,106,106,701.1536458,
107,1,107,107,700.765625,
108,2,108,108,700.765625,
109,4,109,109,700.765625,
110.001,3,110,110,700.765625,
111.001,2,111,111,700.765625,
112.001,0,112,112,701.5416667,
113,5,113,113,701.5416667,
114,4,114,114,700.765625,
115.001,0,115,115,701.1536458,
116,5,116,116,701.5416667,
117.001,3,117,117,701.9296875,
118,2,118,118,701.9296875,
119,4,119,119,701.9296875,
120.001,6,120,120,701.1536458,
121.001,1,121,121,700.765625,
122.001,3,122,122,700.765625,
123.001,1,123,123,700.765625,
124.001,4,124,124,701.1536458,
125.001,6,125,125,701.5416667,
126.001,2,126,126,701.5416667,
127,4,127,127,701.9296875,
128.001,2,128,128,701.5416667,
129,0,129,129,701.9296875,
130,0,130,130,701.9296875,
131,1,131,131,701.1536458,
132.001,1,132,132,700.765625,
133.001,1,133,133,700.765625,
134,3,134,134,700.765625,
135,2,135,135,700.765625,
136,1,136,136,700.765625,
137,1,137,137,701.1536458,
138.001,6,138,138,700.765625,
139.001,2,139,139,701.9296875,
140,1,140,140,701.9296875,
141,4,141,141,701.9296875,
142,3,142,142,701.5416667,
143,3,143,143,701.5416667,
144.001,4,144,144,701.5416667,
144.999,5,145,145,700.765625,
146,4,146,146,700.765625,
147,1,147,147,700.765625,
148,5,148,148,700.3776042,
149.001,1,149,149,701.5416667,
150.001,3,150,150,700.765625,
151,5,151,151,700.765625,
152.001,1,152,152,701.9296875,
153,5,153,153,701.5416667,
153.999,1,154,154,701.9296875,
155.001,3,155,155,701.9296875,
156.001,4,156,156,701.9296875,
157,5,157,157,701.9296875,
158,5,158,158,701.9296875,
158.999,4,159,159,701.9296875,
160,8,160,160,700.765625,
161.001,2,161,161,701.5416667,
162.001,5,162,162,700.765625,
163,4,163,163,700.765625,
164,8,164,164,700.765625,
165,2,165,165,700.765625,
166,6,166,166,700.765625,
167,2,167,167,700.765625,
168,4,168,168,701.5416667,
169,3,169,169,701.1536458,
170,0,170,170,701.9296875,
171.001,5,171,171,701.9296875,
172,5,172,172,701.9296875,
173,3,173,173,701.9296875,
174.001,5,174,174,701.9296875,
175,1,175,175,701.5416667,
176.001,1,176,176,701.5416667,
176.999,4,177,177,700.765625,
177.999,4,178,178,700.765625,
179,2,179,179,700.765625,
180.001,2,180,180,700.765625,
181.001,1,181,181,700.765625,
182.001,6,182,182,700.765625,
183,4,183,183,700.765625,
184.001,5,184,184,700.765625,
185,3,185,185,700.765625,
186,2,186,186,701.1536458,
187.001,4,187,187,700.765625,
188.001,4,188,188,701.9296875,
189,2,189,189,701.9296875,
190,6,190,190,701.9296875,
191,1,191,191,701.9296875,
192.001,1,192,192,701.9296875,
193,3,193,193,700.765625,
194.001,4,194,194,701.5416667,
195.001,2,195,195,701.9296875,
196,4,196,196,701.5416667,
197,4,197,197,701.5416667,
198.001,5,198,198,701.5416667,
199.001,2,199,199,701.5416667,
200.001,5,200,200,701.9296875,
201,4,201,201,700.765625,
202.001,7,202,202,700.765625,
203.001,1,203,203,700.765625,
204,4,204,204,700.765625,
205,3,205,205,700.765625,
206,3,206,206,700.765625,
207,4,207,207,701.1536458,
208,2,208,208,700.765625,
209,8,209,209,701.9296875,
210,3,210,210,701.1536458,
211,2,211,211,701.5416667,
212.001,2,212,212,701.9296875,
213.001,3,213,213,701.9296875,
214.002,0,214,214,701.9296875,
215,3,215,215,701.5416667,
216.001,1,216,216,701.9296875,
217,7,217,217,701.1536458,
218,5,218,218,701.1536458,
219,4,219,219,700.765625,
