Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,699.6015625,-5.52
1,0,1,1,701.9296875,
2.001,0,2,2,701.5416667,
3,0,3,3,701.9296875,
4.001,0,4,4,701.5416667,
5,0,5,5,701.9296875,
6.001,0,6,6,701.5416667,
7,0,7,7,701.1536458,
8,0,8,8,700.765625,
9.001,0,9,9,700.765625,
10.001,0,10,10,700.765625,
11,0,11,11,700.765625,
12,0,12,12,701.1536458,
13.001,0,13,13,701.1536458,
14.001,0,14,14,701.9296875,
15,0,15,15,701.9296875,
16,0,16,16,701.9296875,
17,0,17,17,701.9296875,
18.001,0,18,18,701.9296875,
19.001,0,19,19,700.765625,
20.001,1,20,20,700.765625,
21,1,21,21,700.765625,
22.001,2,22,22,700.765625,
23,1,23,23,700.765625,
24.001,1,24,24,701.1536458,
25.001,0,25,25,701.9296875,
26.001,2,26,26,700.765625,
27.001,2,27,27,701.5416667,
28,2,28,28,701.1536458,
29.001,1,29,29,701.1536458,
30.001,0,30,30,701.9296875,
31.001,1,31,31,701.5416667,
32,0,32,32,700.765625,
33.001,3,33,33,700.765625,
34,3,34,34,700.765625,
35,1,35,35,700.765625,
36.001,3,36,36,700.765625,
37.001,1,37,37,700.765625,
38.001,3,38,38,700.765625,
39,2,39,39,701.1536458,
40,3,40,40,700.765625,
41,3,41,41,700.765625,
42.001,1,42,42,701.1536458,
43.001,1,43,43,700.765625,
44.001,0,44,44,701.5416667,
45.001,1,45,45,701.9296875,
46.001,1,46,46,701.1536458,
47,1,47,47,701.9296875,
48,3,48,48,700.765625,
49,0,49,49,701.5416667,
50,2,50,50,700.765625,
51.001,3,51,51,700.765625,
52.001,0,52,52,701.1536458,
53.001,6,53,53,701.5416667,
54.001,2,54,54,701.1536458,
55.001,0,55,55,701.1536458,
56,1,56,56,701.1536458,
57.001,2,57,57,700.765625,
58,0,58,58,701.1536458,
59.001,0,59,59,701.5416667,
60.001,1,60,60,701.1536458,
61.001,1,61,61,700.765625,
62.001,2,62,62,700.765625,
63.001,4,63,63,700.765625,
64.001,0,64,64,700.765625,
65,3,65,65,701.1536458,
66,4,66,66,701.5416667,
67.001,4,67,67,700.765625,
68,4,68,68,700.765625,
69.001,2,69,69,701.5416667,
70,1,70,70,700.3776042,
71.003,6,71,71,700.765625,
72,4,72,72,700.765625,
73.001,2,73,73,700.765625,
74,2,74,74,700.765625,
75.001,2,75,75,700.765625,
76.001,2,76,76,700.765625,
77,6,77,77,700.765625,
78,4,78,78,700.765625,
