Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,701.9296875,-5.52
1.001,0,1,1,701.9296875,
2,0,2,2,701.5416667,
3.001,0,3,3,701.9296875,
4.001,0,4,4,701.9296875,
5,0,5,5,701.9296875,
6,0,6,6,701.9296875,
7.001,0,7,7,702.3177083,
8.001,0,8,8,701.9296875,
9.001,0,9,9,701.9296875,
10.001,0,10,10,701.9296875,
11.001,0,11,11,701.9296875,
12.001,0,12,12,701.5416667,
13,0,13,13,701.5416667,
13.999,0,14,14,701.9296875,
15,0,15,15,701.1536458,
16.001,0,16,16,701.9296875,
17.001,0,17,17,701.9296875,
18.001,0,18,18,701.9296875,
19.001,1,19,19,701.9296875,
20,0,20,20,701.9296875,
21.001,1,21,21,701.9296875,
22,2,22,22,701.9296875,
23,0,23,23,701.9296875,
24,2,24,24,701.9296875,
25.001,0,25,25,701.9296875,
26,3,26,26,701.9296875,
27.001,3,27,27,701.9296875,
28.001,1,28,28,701.5416667,
29.001,0,29,29,701.9296875,
29.999,3,30,30,701.9296875,
31,1,31,31,701.9296875,
32.001,3,32,32,701.9296875,
33,1,33,33,701.9296875,
34.001,1,34,34,701.9296875,
35,1,35,35,701.9296875,
36.001,1,36,36,701.9296875,
37.001,1,37,37,701.9296875,
38,1,38,38,701.9296875,
39,2,39,39,701.9296875,
40,3,40,40,701.9296875,
41.001,2,41,41,701.9296875,
42.001,1,42,42,701.9296875,
43,3,43,43,701.9296875,
44.001,2,44,44,701.9296875,
45,1,45,45,701.9296875,
46,1,46,46,701.9296875,
47,1,47,47,701.9296875,
48,2,48,48,701.9296875,
49.001,1,49,49,701.9296875,
50.001,4,50,50,701.9296875,
51,2,51,51,701.9296875,
52.001,3,52,52,701.5416667,
53.001,2,53,53,701.9296875,
54.001,2,54,54,701.9296875,
55,3,55,55,701.9296875,
56.001,0,56,56,701.9296875,
57,1,57,57,701.9296875,
58,5,58,58,701.9296875,
59,6,59,59,701.9296875,
60,0,60,60,701.9296875,
61.001,2,61,61,701.9296875,
62,2,62,62,701.9296875,
63.001,6,63,63,701.9296875,
64,1,64,64,701.9296875,
65,1,65,65,701.9296875,
66,2,66,66,701.9296875,
67,0,67,67,701.9296875,
68,2,68,68,701.5416667,
69.001,4,69,69,701.9296875,
70,2,70,70,701.9296875,
71.001,5,71,71,701.9296875,
72,2,72,72,701.9296875,
73,3,73,73,701.9296875,
74,1,74,74,701.9296875,
75.001,2,75,75,701.9296875,
76.001,2,76,76,701.9296875,
77,5,77,77,701.9296875,
78.001,1,78,78,701.9296875,
79.001,3,79,79,701.9296875,
80.001,3,80,80,701.9296875,
81.001,4,81,81,701.9296875,
82,1,82,82,701.9296875,
83.001,2,83,83,701.5416667,
84,3,84,84,701.5416667,
85,3,85,85,701.9296875,
86.001,2,86,86,701.9296875,
87.001,2,87,87,701.9296875,
88.001,3,88,88,701.9296875,
89,1,89,89,701.9296875,
90,1,90,90,701.9296875,
91.001,3,91,91,701.9296875,
92,4,92,92,701.9296875,
93.001,4,93,93,701.9296875,
94,4,94,94,701.9296875,
95,2,95,95,701.9296875,
96,1,96,96,701.9296875,
97.001,2,97,97,701.9296875,
98,1,98,98,701.5416667,
99.001,5,99,99,701.5416667,
100,5,100,100,701.9296875,
101.001,7,101,101,701.9296875,
102,4,102,102,701.9296875,
103.001,3,103,103,701.9296875,
104.001,0,104,104,701.9296875,
105,3,105,105,701.9296875,
106.001,3,106,106,701.9296875,
107.001,0,107,107,701.9296875,
108,1,108,108,701.9296875,
109,6,109,109,701.9296875,
110.001,5,110,110,701.9296875,
111.001,3,111,111,701.9296875,
112.001,3,112,112,701.9296875,
113.001,1,113,113,701.9296875,
114.001,5,114,114,701.9296875,
115.001,3,115,115,701.9296875,
116,4,116,116,701.9296875,
117.001,3,117,117,701.9296875,
118,2,118,118,701.9296875,
119,8,119,119,701.9296875,
120.001,2,120,120,701.9296875,
121.001,3,121,121,701.9296875,
122.001,2,122,122,701.9296875,
123,3,123,123,701.5416667,
124,3,124,124,701.9296875,
125,7,125,125,701.9296875,
126.001,5,126,126,701.9296875,
127.001,7,127,127,701.9296875,
128.001,4,128,128,701.9296875,
129,4,129,129,701.9296875,
130.001,5,130,130,701.9296875,
131,5,131,131,701.9296875,
132.001,4,132,132,701.9296875,
133,3,133,133,701.9296875,
134,1,134,134,701.9296875,
135,4,135,135,702.3177083,
136,2,136,136,701.9296875,
137.001,1,137,137,701.9296875,
138.001,5,138,138,701.9296875,
139,7,139,139,701.9296875,
140.001,4,140,140,701.9296875,
141.001,5,141,141,701.9296875,
142.001,1,142,142,701.9296875,
143.001,4,143,143,701.9296875,
144,4,144,144,701.9296875,
145.001,2,145,145,701.9296875,
146,4,146,146,701.9296875,
147,4,147,147,701.9296875,
148.001,2,148,148,701.9296875,
149,3,149,149,701.9296875,
150.001,7,150,150,701.9296875,
151.001,2,151,151,701.5416667,
152,2,152,152,701.1536458,
153,6,153,153,701.9296875,
154,4,154,154,701.9296875,
155.001,7,155,155,701.9296875,
156,3,156,156,701.9296875,
157,6,157,157,701.9296875,
158.001,6,158,158,701.9296875,
159,5,159,159,701.9296875,
160,4,160,160,701.9296875,
161,6,161,161,701.9296875,
162.001,5,162,162,701.9296875,
163,3,163,163,701.9296875,
164,6,164,164,701.9296875,
165.001,7,165,165,701.9296875,
166,5,166,166,701.5416667,
167.001,6,167,167,701.9296875,
168.001,2,168,168,701.9296875,
169.001,8,169,169,701.5416667,
170,6,170,170,701.9296875,
171.001,1,171,171,701.9296875,
172,4,172,172,701.9296875,
173,4,173,173,701.9296875,
174.001,2,174,174,701.9296875,
175.001,5,175,175,701.9296875,
176,9,176,176,701.9296875,
177.001,6,177,177,701.9296875,
178.001,5,178,178,701.9296875,
179,4,179,179,701.9296875,
180.001,8,180,180,701.9296875,
181,7,181,181,701.5416667,
182.001,3,182,182,701.9296875,
183,3,183,183,701.9296875,
184.001,5,184,184,701.9296875,
185,10,185,185,701.9296875,
186.001,7,186,186,701.9296875,
187,4,187,187,701.9296875,
188.001,5,188,188,701.9296875,
189.001,6,189,189,701.9296875,
190.001,8,190,190,701.9296875,
191.001,7,191,191,701.9296875,
192.001,5,192,192,701.9296875,
193,6,193,193,701.9296875,
194.004,4,194,194,701.9296875,
195.001,7,195,195,701.5416667,
196,4,196,196,701.9296875,
197.001,3,197,197,701.9296875,
198,6,198,198,701.9296875,
199.001,2,199,199,701.9296875,
200,4,200,200,701.9296875,
201.001,5,201,201,701.9296875,
202,3,202,202,701.9296875,
203.001,8,203,203,701.9296875,
204.001,6,204,204,701.9296875,
205,8,205,205,701.9296875,
206.001,2,206,206,701.9296875,
207,6,207,207,701.9296875,
208,6,208,208,701.9296875,
209,5,209,209,701.9296875,
210,8,210,210,701.9296875,
211.001,4,211,211,701.9296875,
212.001,6,212,212,701.9296875,
213,9,213,213,701.9296875,
214,8,214,214,701.9296875,
214.999,5,215,215,701.5416667,
216.001,9,216,216,701.1536458,
217.001,3,217,217,701.5416667,
218,3,218,218,701.5416667,
219.001,10,219,219,701.9296875,
220,9,220,220,701.9296875,
221.001,3,221,221,701.9296875,
222,14,222,222,701.9296875,
223,9,223,223,701.9296875,
224,10,224,224,701.9296875,
225.001,7,225,225,701.9296875,
226,13,226,226,701.9296875,
227,10,227,227,701.9296875,
228.001,11,228,228,701.9296875,
229.001,11,229,229,701.9296875,
230.001,8,230,230,701.9296875,
231.001,4,231,231,701.9296875,
232,11,232,232,701.9296875,
233,6,233,233,701.9296875,
234.001,14,234,234,701.9296875,
235.001,10,235,235,701.9296875,
236,7,236,236,701.9296875,
237,11,237,237,701.9296875,
238.001,6,238,238,702.3177083,
239,9,239,239,701.9296875,
240,10,240,240,701.9296875,
241.001,9,241,241,701.9296875,
242.001,7,242,242,701.9296875,
243,9,243,243,701.9296875,
244.001,12,244,244,701.9296875,
245,14,245,245,701.9296875,
246.001,12,246,246,701.9296875,
247,11,247,247,701.9296875,
248.001,12,248,248,702.3177083,
249.001,7,249,249,701.9296875,
250,10,250,250,701.9296875,
251,11,251,251,701.9296875,
252.001,10,252,252,701.9296875,
253,9,253,253,701.9296875,
254.001,4,254,254,701.9296875,
255.001,7,255,255,701.5416667,
256.001,8,256,256,701.9296875,
257.001,9,257,257,701.9296875,
258,4,258,258,701.9296875,
258.999,8,259,259,701.9296875,
260.001,9,260,260,701.9296875,
261,13,261,261,701.9296875,
261.999,5,262,262,701.9296875,
263.001,10,263,263,701.9296875,
264.001,12,264,264,701.9296875,
265,10,265,265,701.9296875,
266,6,266,266,701.9296875,
267,5,267,267,701.9296875,
268.001,5,268,268,701.9296875,
269,11,269,269,701.9296875,
270,7,270,270,701.9296875,
271.003,9,271,271,701.9296875,
272.001,6,272,272,701.9296875,
273.001,2,273,273,701.9296875,
274.001,10,274,274,701.9296875,
275.001,3,275,275,701.9296875,
276,4,276,276,701.9296875,
277.001,9,277,277,701.9296875,
278,8,278,278,701.9296875,
279,6,279,279,701.9296875,
280.001,11,280,280,701.9296875,
281.001,9,281,281,701.9296875,
282.001,6,282,282,701.9296875,
283.001,7,283,283,701.9296875,
284.001,6,284,284,701.9296875,
285,7,285,285,701.9296875,
286,5,286,286,701.9296875,
287.001,6,287,287,701.9296875,
288.001,5,288,288,701.9296875,
289.001,6,289,289,701.9296875,
290,7,290,290,701.9296875,
291,4,291,291,701.9296875,
292.001,10,292,292,701.9296875,
293.001,3,293,293,701.9296875,
294,7,294,294,701.9296875,
295.001,7,295,295,701.9296875,
296,5,296,296,701.9296875,
297.001,6,297,297,701.9296875,
298.001,8,298,298,701.9296875,
299,5,299,299,701.5416667,
300.001,2,300,300,701.9296875,
301,1,301,301,701.9296875,
302,7,302,302,701.9296875,
303.001,4,303,303,701.9296875,
304.001,2,304,304,701.9296875,
305.001,8,305,305,701.9296875,
306.001,5,306,306,701.9296875,
307.001,4,307,307,701.5416667,
308,4,308,308,701.9296875,
309.001,7,309,309,701.9296875,
310,5,310,310,701.9296875,
311,4,311,311,701.9296875,
312.001,11,312,312,701.9296875,
