Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,gain (unitless)
0,0,0,0,703.4817708,-4
1.001,0,1,1,702.7057292,
2.001,0,2,2,703.09375,
3,0,3,3,702.7057292,
4,0,4,4,703.09375,
5,0,5,5,703.09375,
6,0,6,6,703.09375,
7.001,0,7,7,703.09375,
8.001,0,8,8,703.09375,
9,0,9,9,703.09375,
10.001,0,10,10,703.09375,
11,0,11,11,703.09375,
12,0,12,12,703.09375,
13,0,13,13,703.09375,
14,0,14,14,702.7057292,
15.001,0,15,15,702.7057292,
16.001,0,16,16,702.7057292,
17.001,0,17,17,701.9296875,
18.001,0,18,18,702.3177083,
19.001,0,19,19,703.09375,
20,0,20,20,703.09375,
21,0,21,21,703.09375,
22.001,0,22,22,703.09375,
23,0,23,23,703.09375,
24,0,24,24,703.09375,
25.001,0,25,25,703.09375,
26,0,26,26,703.09375,
27,0,27,27,703.09375,
28.001,1,28,28,703.4817708,
29.001,0,29,29,703.09375,
30,0,30,30,703.09375,
31.001,0,31,31,703.09375,
32,1,32,32,702.3177083,
33.001,1,33,33,701.9296875,
34.001,7,34,34,702.3177083,
35.001,1,35,35,703.09375,
36.001,0,36,36,702.7057292,
37,0,37,37,702.7057292,
38,1,38,38,702.7057292,
39,3,39,39,703.09375,
40.001,3,40,40,703.09375,
41,0,41,41,703.09375,
42,0,42,42,703.09375,
43.001,4,43,43,703.09375,
44,2,44,44,703.09375,
45,3,45,45,703.09375,
46,1,46,46,703.09375,
46.999,0,47,47,703.09375,
48.001,0,48,48,703.09375,
49,2,49,49,703.09375,
50.001,1,50,50,702.3177083,
51.001,0,51,51,703.09375,
52.001,0,52,52,702.3177083,
53,1,53,53,702.3177083,
54.001,1,54,54,703.09375,
55.001,1,55,55,702.7057292,
56.001,1,56,56,701.9296875,
57,5,57,57,703.09375,
58.001,2,58,58,703.09375,
59,2,59,59,703.8697917,
60.001,1,60,60,703.09375,
61.001,2,61,61,703.09375,
62.001,2,62,62,703.8697917,
63,0,63,63,703.09375,
64.001,5,64,64,703.09375,
65,3,65,65,703.09375,
66.001,3,66,66,703.09375,
67,2,67,67,702.3177083,
68,2,68,68,703.09375,
69.001,2,69,69,702.3177083,
70,5,70,70,702.7057292,
71,3,71,71,702.7057292,
72,3,72,72,703.09375,
73.001,2,73,73,703.09375,
74.001,2,74,74,702.7057292,
75.001,1,75,75,703.09375,
76,3,76,76,703.09375,
77.001,5,77,77,703.4817708,
78.001,3,78,78,703.09375,
79.001,1,79,79,703.09375,
80.001,3,80,80,703.09375,
81.001,2,81,81,703.09375,
82.001,2,82,82,703.09375,
83.001,5,83,83,703.09375,
84.001,1,84,84,703.09375,
85.001,5,85,85,703.09375,
86,3,86,86,703.09375,
87,2,87,87,703.09375,
87.999,2,88,88,703.09375,
89.001,0,89,89,703.09375,
90.001,1,90,90,702.7057292,
91.001,0,91,91,703.09375,
92,2,92,92,702.7057292,
93,1,93,93,703.09375,
94.001,4,94,94,701.9296875,
95.001,2,95,95,701.9296875,
96,3,96,96,702.7057292,
97,2,97,97,702.7057292,
98,3,98,98,701.9296875,
99.001,1,99,99,703.09375,
100,2,100,100,703.09375,
101.001,3,101,101,703.09375,
102,0,102,102,703.09375,
103,3,103,103,703.09375,
104,2,104,104,703.09375,
105.001,4,105,105,703.09375,
106.001,1,106,106,703.09375,
107,3,107,107,703.09375,
108,0,108,108,703.09375,
109,3,109,109,703.09375,
110.001,1,110,110,703.09375,
111,1,111,111,703.4817708,
112,1,112,112,703.09375,
113.001,1,113,113,702.3177083,
114,1,114,114,703.09375,
115.001,1,115,115,702.3177083,
116.001,1,116,116,702.7057292,
117,1,117,117,703.09375,
118,1,118,118,703.09375,
119.001,3,119,119,703.09375,
120,5,120,120,703.09375,
121,9,121,121,702.7057292,
122,3,122,122,703.09375,
123.001,1,123,123,703.09375,
124,1,124,124,703.09375,
125.001,5,125,125,703.09375,
126.001,5,126,126,703.09375,
127.001,1,127,127,703.09375,
128.001,0,128,128,703.09375,
129.001,3,129,129,703.09375,
130.001,5,130,130,703.09375,
131,1,131,131,701.9296875,
132.001,6,132,132,702.7057292,
133.001,4,133,133,701.9296875,
134.001,5,134,134,701.9296875,
135.001,0,135,135,703.09375,
136.001,2,136,136,703.09375,
137.001,5,137,137,702.7057292,
138,3,138,138,703.09375,
139.001,5,139,139,703.09375,
140.001,0,140,140,703.09375,
141,2,141,141,703.09375,
142,1,142,142,703.09375,
143.001,4,143,143,703.09375,
144.001,2,144,144,703.09375,
145.001,5,145,145,703.09375,
146.001,1,146,146,703.09375,
147,3,147,147,702.3177083,
148.001,3,148,148,702.3177083,
149,6,149,149,702.3177083,
150.001,5,150,150,702.7057292,
151.001,2,151,151,703.09375,
152,3,152,152,703.09375,
153.001,2,153,153,703.09375,
154,5,154,154,703.09375,
155,1,155,155,703.09375,
156.001,5,156,156,703.09375,
157.001,3,157,157,703.09375,
158,1,158,158,703.09375,
159,5,159,159,702.7057292,
160.001,2,160,160,701.9296875,
161,9,161,161,702.7057292,
162,6,162,162,702.3177083,
163.001,9,163,163,702.7057292,
164,2,164,164,702.7057292,
165,6,165,165,702.7057292,
166,7,166,166,703.09375,
167.001,4,167,167,703.09375,
168,5,168,168,703.09375,
169,5,169,169,703.09375,
170.001,7,170,170,703.09375,
171.001,5,171,171,703.09375,
172.001,4,172,172,703.09375,
173,7,173,173,703.09375,
174,8,174,174,703.09375,
175,5,175,175,702.7057292,
176,6,176,176,702.3177083,
177,5,177,177,702.3177083,
178,6,178,178,702.7057292,
179,10,179,179,701.9296875,
180,8,180,180,702.3177083,
181.001,8,181,181,703.09375,
182.001,12,182,182,703.09375,
183.001,7,183,183,703.09375,
184,3,184,184,703.09375,
185,7,185,185,703.09375,
186.001,11,186,186,703.09375,
187,4,187,187,703.09375,
188.001,10,188,188,703.09375,
189,9,189,189,703.09375,
190,5,190,190,703.09375,
191,5,191,191,703.09375,
192.001,8,192,192,703.09375,
193.001,10,193,193,703.09375,
194,5,194,194,703.09375,
195,6,195,195,702.7057292,
196.001,5,196,196,702.7057292,
197.001,8,197,197,702.7057292,
198.001,10,198,198,703.09375,
199.001,5,199,199,702.7057292,
200.001,5,200,200,702.3177083,
201,8,201,201,702.3177083,
202,9,202,202,703.09375,
203.001,11,203,203,701.9296875,
204.001,4,204,204,701.9296875,
205.001,9,205,205,703.09375,
206,9,206,206,703.09375,
207,6,207,207,703.09375,
208.001,5,208,208,703.09375,
209,3,209,209,703.09375,
210.001,8,210,210,703.09375,
211,4,211,211,703.09375,
212.001,4,212,212,703.09375,
213,5,213,213,703.09375,
214,9,214,214,703.09375,
215.001,11,215,215,703.09375,
216,9,216,216,703.09375,
217,11,217,217,703.09375,
218,6,218,218,703.09375,
219,6,219,219,703.09375,
220,3,220,220,703.09375,
221.001,5,221,221,703.09375,
222,7,222,222,703.09375,
223,7,223,223,703.09375,
224,5,224,224,703.09375,
225.001,6,225,225,703.09375,
226.001,4,226,226,702.7057292,
227,4,227,227,702.7057292,
228.001,8,228,228,703.09375,
229.004,3,229,229,701.9296875,
230,7,230,230,702.3177083,
231,4,231,231,702.7057292,
232.001,4,232,232,701.9296875,
233.001,6,233,233,702.3177083,
234.001,2,234,234,702.7057292,
235,8,235,235,701.9296875,
236.001,7,236,236,703.09375,
237.001,3,237,237,702.3177083,
238,6,238,238,701.9296875,
239.001,3,239,239,703.09375,
240,6,240,240,702.7057292,
241.001,1,241,241,702.7057292,
242.001,7,242,242,702.7057292,
243,4,243,243,703.09375,
244.001,5,244,244,702.7057292,
245.001,2,245,245,703.09375,
246,4,246,246,703.09375,
247,9,247,247,703.09375,
248.001,5,248,248,703.09375,
249.001,2,249,249,703.09375,
250,7,250,250,703.09375,
251.001,3,251,251,703.09375,
252.001,6,252,252,703.09375,
253.001,8,253,253,703.09375,
254,6,254,254,703.09375,
255,5,255,255,703.09375,
256,9,256,256,703.09375,
257.001,2,257,257,703.09375,
258,7,258,258,703.09375,
259.001,6,259,259,703.09375,
260,6,260,260,703.09375,
261,3,261,261,703.09375,
262.001,5,262,262,703.09375,
263.001,3,263,263,703.09375,
264,2,264,264,703.09375,
265.001,4,265,265,703.09375,
266,3,266,266,703.09375,
267,5,267,267,703.09375,
268.001,4,268,268,703.09375,
269,8,269,269,703.09375,
270.001,6,270,270,703.09375,
271.001,5,271,271,702.3177083,
272.001,5,272,272,702.3177083,
273,2,273,273,701.9296875,
274,5,274,274,702.7057292,
275,7,275,275,702.7057292,
276.001,5,276,276,702.7057292,
277.001,4,277,277,702.3177083,
278,7,278,278,703.09375,
279.001,2,279,279,703.09375,
280.001,5,280,280,703.09375,
281.001,11,281,281,703.09375,
282,2,282,282,703.09375,
283,9,283,283,703.09375,
284,3,284,284,703.09375,
285.001,4,285,285,703.09375,
286,3,286,286,703.09375,
287.001,3,287,287,703.09375,
288,7,288,288,703.09375,
289.001,3,289,289,703.09375,
290,6,290,290,703.09375,
291.001,4,291,291,702.7057292,
292,4,292,292,702.7057292,
293.001,3,293,293,703.09375,
