event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
5929584,0.3233905180840665,1,0.48076179277819836,14,10,4,1,200000000,0.5
5929584,0.9701715542521995,3,1.442285378334595,14,10,1,,,
5929584,1.6169525904203326,3,2.4038089638909916,6,5,1,,,
6526364,2.2637336265884653,2,3.3653325494473885,9,4,5,,,
6526364,2.9105146627565985,5,4.326856135003785,7,16,3,,,
6526364,3.5572956989247313,3,5.288379720560181,16,5,3,,,
6526364,4.2040767350928645,3,6.249903306116579,14,9,5,,,
9455586,4.850857771260998,1,7.211426891672975,12,3,1,,,
9455586,5.49763880742913,3,8.172950477229373,11,5,3,,,
9455586,6.144419843597264,1,9.134474062785769,8,7,1,,,
9455586,6.791200879765396,2,10.095997648342166,7,5,4,,,
9455586,7.437981915933529,1,11.057521233898562,10,5,4,,,
9455586,8.084762952101663,2,12.019044819454958,11,10,3,,,
9455586,8.731543988269795,3,12.980568405011356,9,3,2,,,
9455586,9.378325024437927,4,13.942091990567754,14,5,3,,,
10254717,10.025106060606062,2,14.90361557612415,15,7,6,,,
10254717,10.671887096774194,3,15.865139161680545,11,8,5,,,
11780699,11.318668132942328,1,16.826662747236945,8,6,1,,,
11780699,11.96544916911046,2,17.788186332793337,9,8,3,,,
11780699,12.612230205278593,3,18.749709918349737,7,7,3,,,
11780699,13.259011241446727,1,19.711233503906133,8,4,6,,,
11780699,13.905792277614859,1,20.67275708946253,10,12,6,,,
16579085,14.552573313782993,0,21.63428067501893,16,7,3,,,
16579085,15.199354349951125,2,22.59580426057532,9,3,4,,,
16579085,15.846135386119258,3,23.55732784613172,7,6,3,,,
16579085,16.492916422287394,2,24.518851431688116,13,4,9,,,
16695542,17.139697458455522,2,25.480375017244512,16,7,3,,,
16858161,17.78647849462366,4,26.44189860280091,7,9,3,,,
18137381,18.433259530791787,6,27.403422188357304,8,7,2,,,
18137381,19.080040566959923,1,28.364945773913703,9,9,3,,,
21138210,19.72682160312806,2,29.326469359470103,9,8,2,,,
22337333,20.373602639296188,3,30.287992945026495,13,10,4,,,
22337333,21.020383675464323,3,31.249516530582895,9,3,3,,,
22337333,21.667164711632452,2,32.21104011613929,3,10,2,,,
22337333,22.313945747800588,4,33.17256370169569,6,4,4,,,
22337333,22.960726783968724,2,34.134087287252086,6,3,2,,,
25377054,23.607507820136853,1,35.09561087280848,10,9,4,,,
30891148,24.25428885630499,1,36.05713445836488,6,5,5,,,
30891148,24.901069892473117,0,37.01865804392128,7,7,2,,,
30891148,25.547850928641253,2,37.98018162947767,7,10,1,,,
36452164,26.19463196480939,8,38.94170521503406,6,5,2,,,
41615094,26.841413000977518,3,39.90322880059047,2,1,5,,,
41615094,27.488194037145654,2,40.86475238614686,6,4,5,,,
41615094,28.134975073313782,4,41.826275971703254,2,7,3,,,
41615094,28.78175610948192,2,42.78779955725965,4,5,0,,,
43137833,29.42853714565005,0,43.74932314281605,9,6,1,,,
48463183,30.075318181818183,1,44.710846728372445,3,4,3,,,
48463183,30.72209921798632,6,45.672370313928845,10,3,1,,,
48463183,31.368880254154448,2,46.633893899485244,5,10,2,,,
51256386,32.01566129032258,1,47.59541748504164,8,7,0,,,
51256386,32.66244232649072,4,48.55694107059803,0,4,3,,,
51256386,33.30922336265885,1,49.518464656154435,3,4,2,,,
